customer_id,customer_age,customer_gender,product_id,product_item ,product_category,purchase_id,_purchase_id,purchase_amount,customer_location,product_size,product_colour,product_season,product_rating,customer_subscription,purchase_shipping type,purchase_discount,purchase_promocode,customer_purchase count,purchase_payment type,customer_purchase frequency,purchase_date
22,31,Male,22,Pants,Clothing,22,225,62.00,North Carolina,M,Charcoal,Winter,4.1,1,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,2024-01-17
23,56,Male,23,Pants,Clothing,23,226,37.00,California,M,Peach,Summer,3.2,1,Store Pickup,Yes,Yes,32,Debit Card,Annually,2024-08-23
24,31,Male,24,Pants,Clothing,24,227,88.00,Oklahoma,XL,White,Winter,4.4,1,Express,Yes,Yes,40,Credit Card,Weekly,2024-12-01
25,18,Male,25,Jacket,Outerwear,25,229,22.00,Florida,M,Green,Fall,2.9,1,Store Pickup,Yes,Yes,16,Debit Card,Weekly,2024-10-14
26,18,Male,26,Hoodie,Clothing,26,230,25.00,Texas,M,Silver,Summer,3.6,1,Express,Yes,Yes,14,PayPal,Annually,2024-06-22
27,38,Male,27,Jewelry,Accessories,27,231,20.00,Nevada,M,Red,Spring,3.6,1,Next Day Air,Yes,Yes,13,Credit Card,Annually,2024-04-06
28,56,Male,28,Shorts,Clothing,28,232,56.00,Kentucky,L,Cyan,Summer,5,1,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,2024-08-17
29,54,Male,29,Handbag,Accessories,29,233,94.00,North Carolina,M,Gray,Fall,4.4,1,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,2024-11-13
30,31,Male,30,Dress,Clothing,30,235,48.00,Wyoming,S,Black,Fall,4.1,1,Store Pickup,Yes,Yes,14,Credit Card,Weekly,2024-09-09
31,57,Male,31,Jewelry,Accessories,31,236,31.00,North Carolina,L,Black,Winter,4.7,1,Standard,Yes,Yes,16,Credit Card,Monthly,2024-01-08
32,33,Male,32,Dress,Clothing,32,237,79.00,West Virginia,L,Brown,Winter,4.7,1,Store Pickup,Yes,Yes,45,Venmo,Monthly,2024-01-23
33,36,Male,33,Jacket,Outerwear,33,238,67.00,Kansas,M,Silver,Summer,4.9,1,Free Shipping,Yes,Yes,37,Venmo,Annually,2024-06-11
34,54,Male,34,Pants,Clothing,34,239,38.00,Colorado,L,Green,Summer,3.3,1,Store Pickup,Yes,Yes,45,Cash,Quarterly,2024-07-01
35,36,Male,35,T-shirt,Clothing,35,241,91.00,North Dakota,L,Violet,Spring,4.6,1,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,2024-05-11
36,54,Male,36,Blouse,Clothing,36,242,33.00,Massachusetts,M,Cyan,Summer,4,1,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,2024-06-20
37,35,Male,37,T-shirt,Clothing,37,243,69.00,Illinois,M,Maroon,Winter,4.6,1,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,2024-12-05
38,35,Male,38,Jeans,Clothing,38,244,45.00,Indiana,S,Cyan,Summer,2.8,1,Store Pickup,Yes,Yes,10,PayPal,Weekly,2024-08-15
39,29,Male,39,Dress,Clothing,39,245,37.00,Florida,M,Red,Winter,3.7,1,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,2024-02-10
40,70,Male,40,Pants,Clothing,40,247,60.00,Arizona,S,Turquoise,Summer,4.2,1,Express,Yes,Yes,18,Credit Card,Monthly,2024-07-24
41,69,Male,41,Handbag,Accessories,41,248,76.00,Louisiana,L,Beige,Winter,4.6,1,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,2024-02-23
42,67,Male,42,Scarf,Accessories,42,249,39.00,Alaska,M,Orange,Spring,4.5,1,Standard,Yes,Yes,40,Venmo,Annually,2024-03-20
43,20,Male,43,Coat,Outerwear,43,250,100.00,Tennessee,M,Beige,Spring,4.1,1,Free Shipping,Yes,Yes,15,PayPal,Annually,2024-05-15
44,25,Male,44,Scarf,Accessories,44,251,69.00,Ohio,L,Lavender,Fall,3.7,1,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,2024-09-23
45,39,Male,45,Hat,Accessories,45,253,53.00,Kentucky,S,Silver,Summer,4.6,1,Free Shipping,Yes,Yes,45,PayPal,Weekly,2024-06-26
46,50,Male,46,Socks,Clothing,46,254,21.00,Tennessee,XL,Indigo,Fall,2.9,1,2-Day Shipping,Yes,Yes,25,PayPal,Annually,2024-09-14
47,57,Male,47,Shirt,Clothing,47,255,43.00,California,L,White,Summer,2.9,1,Store Pickup,Yes,Yes,45,Cash,Quarterly,2024-07-28
48,55,Male,48,Jewelry,Accessories,48,256,54.00,Montana,M,Charcoal,Winter,4.5,1,Free Shipping,Yes,Yes,36,Cash,Weekly,2024-12-06
49,42,Male,49,Shirt,Clothing,49,257,55.00,Nevada,M,Orange,Summer,2.7,1,Store Pickup,Yes,Yes,38,Cash,Monthly,2024-06-24
50,68,Male,50,Hoodie,Clothing,50,259,30.00,New Jersey,S,Indigo,Spring,4.6,1,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,2024-03-19
51,49,Male,51,Blouse,Clothing,51,260,28.00,Maryland,M,Red,Spring,3.7,1,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,2024-03-16
52,59,Male,52,Skirt,Clothing,52,261,59.00,Vermont,XL,Gray,Winter,4.7,1,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,2024-02-17
53,42,Male,53,T-shirt,Clothing,53,262,20.00,Alaska,M,Green,Summer,2.6,1,Free Shipping,Yes,Yes,26,Credit Card,Weekly,2024-06-07
54,29,Male,54,Skirt,Clothing,54,263,24.00,Mississippi,S,Peach,Winter,3.9,1,Next Day Air,Yes,Yes,35,Credit Card,Weekly,2024-01-21
55,47,Male,55,Coat,Outerwear,55,265,94.00,New Mexico,M,Brown,Summer,4.2,1,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,2024-07-22
56,40,Male,56,Jacket,Outerwear,56,266,28.00,South Carolina,M,Lavender,Winter,3,1,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,2024-02-22
57,41,Male,57,Backpack,Accessories,57,267,73.00,Mississippi,XL,Brown,Summer,4.7,1,Store Pickup,Yes,Yes,46,Credit Card,Weekly,2024-06-07
58,21,Male,58,Coat,Outerwear,58,268,64.00,West Virginia,M,White,Summer,4.4,1,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,2024-07-20
59,69,Male,59,Hoodie,Clothing,59,269,54.00,Missouri,M,Charcoal,Summer,4.2,1,Free Shipping,Yes,Yes,29,Venmo,Monthly,2024-08-10
60,63,Male,60,Belt,Accessories,60,271,79.00,Louisiana,L,Yellow,Spring,4.6,1,Standard,Yes,Yes,4,Debit Card,Weekly,2024-05-28
61,50,Male,61,Sweater,Clothing,61,272,37.00,Idaho,L,Brown,Summer,4,1,Express,Yes,Yes,17,Cash,Weekly,2024-07-28
62,55,Male,62,Scarf,Accessories,62,273,68.00,Texas,M,Orange,Winter,4.7,1,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,2024-02-26
63,30,Male,63,Sneakers,Footwear,63,274,21.00,Mississippi,S,Magenta,Spring,3.8,1,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,2024-05-13
64,33,Male,64,Sunglasses,Accessories,64,275,79.00,Arizona,L,Lavender,Winter,2.7,1,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,2024-01-08
65,65,Male,65,Boots,Footwear,65,277,83.00,Alabama,S,Green,Fall,4.8,1,Standard,Yes,Yes,18,Debit Card,Fortnightly,2024-11-01
66,65,Male,66,Backpack,Accessories,66,278,36.00,New Jersey,M,Purple,Spring,4.8,1,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,2024-05-21
67,31,Male,67,Blouse,Clothing,67,279,94.00,Pennsylvania,S,Magenta,Winter,4.7,1,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,2024-01-17
68,45,Male,68,Coat,Outerwear,68,280,33.00,Connecticut,L,Gray,Winter,4.4,1,Store Pickup,Yes,Yes,49,Debit Card,Monthly,2024-02-28
69,57,Male,69,Handbag,Accessories,69,281,46.00,Utah,L,Silver,Summer,3.9,1,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,2024-08-11
70,48,Male,70,Belt,Accessories,70,283,70.00,Tennessee,S,Cyan,Summer,4.4,1,Express,Yes,Yes,5,Cash,Weekly,2024-06-04
71,22,Male,71,Belt,Accessories,71,284,29.00,Alabama,M,Magenta,Fall,4.2,1,Express,Yes,Yes,32,Debit Card,Every 3 Months,2024-10-16
72,36,Male,72,Dress,Clothing,72,285,48.00,Virginia,L,Gold,Summer,2.9,1,Express,Yes,Yes,34,Bank Transfer,Annually,2024-07-10
73,18,Male,73,Dress,Clothing,73,286,26.00,Georgia,M,Olive,Winter,2.9,1,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,2024-02-22
74,48,Male,74,Pants,Clothing,74,287,85.00,Hawaii,M,Teal,Spring,2.7,1,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,2024-04-23
75,49,Male,75,Gloves,Accessories,75,289,58.00,Indiana,L,Violet,Spring,4.5,1,Express,Yes,Yes,3,Cash,Monthly,2024-05-03
76,64,Male,76,Scarf,Accessories,76,290,85.00,Utah,M,Blue,Summer,2.7,1,Free Shipping,Yes,Yes,21,Credit Card,Annually,2024-06-06
77,50,Male,77,Hat,Accessories,77,291,43.00,Delaware,S,Teal,Summer,4.2,1,Free Shipping,Yes,Yes,32,Venmo,Monthly,2024-08-06
78,22,Male,78,Dress,Clothing,78,292,53.00,Delaware,L,Gold,Summer,3.3,1,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,2024-06-12
79,50,Male,79,Skirt,Clothing,79,293,91.00,Nebraska,M,Maroon,Spring,4.7,1,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,2024-04-23
80,38,Male,80,Jacket,Outerwear,80,295,96.00,Iowa,M,Olive,Winter,2.6,1,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,2024-12-03
81,19,Male,81,Sandals,Footwear,81,296,72.00,New York,XL,Blue,Summer,3.3,1,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,2024-07-01
82,67,Male,82,Shoes,Footwear,82,297,96.00,Virginia,L,Maroon,Summer,2.6,1,Express,Yes,Yes,36,Credit Card,Every 3 Months,2024-08-14
83,19,Male,83,Pants,Clothing,83,298,28.00,Georgia,S,Olive,Spring,4,1,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,2024-03-16
84,36,Male,84,Dress,Clothing,84,299,40.00,Texas,M,Turquoise,Summer,4.1,1,Standard,Yes,Yes,34,Bank Transfer,Weekly,2024-08-02
85,52,Male,85,Coat,Outerwear,85,301,32.00,Arizona,S,Peach,Spring,4.4,1,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,2024-03-15
86,53,Male,86,Sunglasses,Accessories,86,302,95.00,New Mexico,M,Charcoal,Winter,4.5,1,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,2024-12-23
87,24,Male,87,Hoodie,Clothing,87,303,41.00,Nevada,L,Pink,Spring,3.7,1,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,2024-04-17
88,52,Male,88,Shoes,Footwear,88,304,53.00,Ohio,M,Green,Fall,3.7,1,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,2024-09-01
89,33,Male,89,T-shirt,Clothing,89,305,47.00,Wyoming,M,Orange,Fall,3.5,1,Free Shipping,Yes,Yes,35,Credit Card,Monthly,2024-10-24
90,47,Male,90,Jacket,Outerwear,90,307,83.00,California,XL,Pink,Fall,3.6,1,Next Day Air,Yes,Yes,15,Cash,Quarterly,2024-10-06
91,25,Male,91,Hat,Accessories,91,308,48.00,South Carolina,L,Violet,Summer,2.9,1,Express,Yes,Yes,29,Credit Card,Monthly,2024-07-23
92,44,Male,92,Scarf,Accessories,92,309,99.00,South Carolina,S,Green,Winter,4.6,1,Standard,Yes,Yes,18,Credit Card,Every 3 Months,2024-01-14
93,61,Male,93,Jacket,Outerwear,93,310,87.00,Texas,M,Olive,Winter,4.4,1,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,2024-12-14
94,37,Male,94,Sweater,Clothing,94,311,62.00,Florida,M,Purple,Fall,4.5,1,Standard,Yes,Yes,46,Credit Card,Weekly,2024-11-18
95,58,Male,95,Skirt,Clothing,95,313,76.00,Nevada,S,Silver,Spring,4.6,1,Free Shipping,Yes,Yes,28,Credit Card,Weekly,2024-04-12
96,37,Male,96,Sneakers,Footwear,96,314,100.00,Missouri,L,Pink,Fall,3.8,1,Free Shipping,Yes,Yes,48,PayPal,Monthly,2024-10-03
97,32,Male,97,Gloves,Accessories,97,315,73.00,Delaware,S,Gold,Spring,3.6,1,Express,Yes,Yes,43,Venmo,Every 3 Months,2024-05-26
98,21,Male,98,Shoes,Footwear,98,316,92.00,Virginia,M,Teal,Winter,4.8,1,Store Pickup,Yes,Yes,37,Cash,Annually,2024-02-04
99,20,Male,99,Jeans,Clothing,99,317,67.00,New York,XL,Teal,Spring,2.6,1,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,2024-05-23
100,26,Male,100,Hoodie,Clothing,100,319,40.00,Missouri,XL,Indigo,Summer,3.7,1,Express,Yes,Yes,33,Debit Card,Quarterly,2024-07-23
101,62,Male,101,Sunglasses,Accessories,101,320,98.00,South Dakota,M,Maroon,Fall,2.7,1,Express,Yes,Yes,31,Cash,Fortnightly,2024-11-27
102,27,Male,102,Coat,Outerwear,102,321,85.00,North Dakota,XL,White,Spring,4.6,1,Express,Yes,Yes,50,Credit Card,Bi-Weekly,2024-05-06
103,51,Male,103,Socks,Clothing,103,322,67.00,Oklahoma,L,Violet,Winter,4.8,1,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,2024-02-23
104,54,Male,104,Boots,Footwear,104,323,89.00,West Virginia,L,Red,Winter,4,1,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,2024-02-17
105,55,Male,105,Sunglasses,Accessories,105,325,24.00,New Hampshire,L,Pink,Spring,4.4,1,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,2024-05-03
106,69,Male,106,Backpack,Accessories,106,326,96.00,New York,M,Charcoal,Fall,3.6,1,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,2024-10-03
107,64,Male,107,Jacket,Outerwear,107,327,35.00,Minnesota,L,White,Summer,3.7,1,Standard,Yes,Yes,31,Credit Card,Monthly,2024-06-21
108,28,Male,108,Sneakers,Footwear,108,328,67.00,Maryland,L,Olive,Winter,3.1,1,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,2024-01-10
109,70,Male,109,Socks,Clothing,109,329,79.00,Montana,L,Purple,Spring,3.4,1,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,2024-03-22
110,58,Male,110,T-shirt,Clothing,110,331,85.00,Alabama,M,Violet,Spring,2.6,1,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,2024-04-14
111,56,Male,111,Backpack,Accessories,111,332,26.00,New York,M,Black,Summer,4,1,Standard,Yes,Yes,26,Venmo,Fortnightly,2024-08-10
112,26,Male,112,Belt,Accessories,112,333,75.00,Massachusetts,L,Purple,Summer,5,1,Free Shipping,Yes,Yes,9,Credit Card,Annually,2024-07-04
113,37,Male,113,Gloves,Accessories,113,334,65.00,Florida,M,Red,Spring,4.3,1,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,2024-05-13
114,44,Male,114,Hat,Accessories,114,335,54.00,New Jersey,L,Maroon,Winter,3.1,1,Next Day Air,Yes,Yes,20,PayPal,Quarterly,2024-12-07
115,70,Male,115,Coat,Outerwear,115,337,95.00,Massachusetts,S,Blue,Summer,3.7,1,Store Pickup,Yes,Yes,9,Cash,Weekly,2024-07-01
116,53,Male,116,Skirt,Clothing,116,338,94.00,Wyoming,M,Gray,Spring,3.8,1,Standard,Yes,Yes,48,Debit Card,Every 3 Months,2024-04-01
117,55,Male,117,Shoes,Footwear,117,339,86.00,Virginia,S,Blue,Spring,3.4,1,Free Shipping,Yes,Yes,12,Venmo,Annually,2024-04-27
118,50,Male,118,Sandals,Footwear,118,340,32.00,South Dakota,L,Yellow,Summer,4.6,1,Express,Yes,Yes,29,Cash,Fortnightly,2024-06-23
119,50,Male,119,Sweater,Clothing,119,341,45.00,Kentucky,L,Orange,Fall,4.8,1,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,2024-11-27
120,38,Male,120,Coat,Outerwear,120,343,76.00,Wyoming,M,Orange,Fall,4.3,1,Express,Yes,Yes,44,Cash,Annually,2024-09-25
121,64,Male,121,Hat,Accessories,121,344,84.00,West Virginia,L,Red,Summer,4,1,Express,Yes,Yes,32,Bank Transfer,Annually,2024-06-14
122,19,Male,122,Shorts,Clothing,122,345,72.00,Virginia,M,Olive,Winter,4.2,1,Standard,Yes,Yes,11,Cash,Fortnightly,2024-01-20
123,40,Male,123,Backpack,Accessories,123,346,40.00,Washington,L,Brown,Spring,4.8,1,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly,2024-04-17
124,57,Male,124,Sweater,Clothing,124,347,89.00,Louisiana,L,Brown,Fall,3.1,1,Free Shipping,Yes,Yes,46,Cash,Weekly,2024-10-10
125,44,Male,125,Sweater,Clothing,125,349,86.00,Nevada,M,Gray,Spring,3.1,1,Next Day Air,Yes,Yes,50,PayPal,Annually,2024-04-21
126,49,Male,126,Shorts,Clothing,126,350,54.00,California,M,Indigo,Winter,3.6,1,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months,2024-02-27
127,43,Male,127,Shorts,Clothing,127,351,36.00,Mississippi,L,Pink,Spring,3.9,1,Store Pickup,Yes,Yes,48,Cash,Every 3 Months,2024-05-19
128,24,Male,128,Sweater,Clothing,128,352,89.00,Mississippi,M,Gray,Winter,4.8,1,Next Day Air,Yes,Yes,26,Credit Card,Weekly,2024-12-11
129,20,Male,129,Scarf,Accessories,129,353,32.00,California,M,Gold,Spring,4.7,1,Standard,Yes,Yes,21,Credit Card,Fortnightly,2024-05-11
130,24,Male,130,Dress,Clothing,130,355,67.00,Pennsylvania,XL,Olive,Summer,4.2,1,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly,2024-08-12
131,44,Male,131,Scarf,Accessories,131,356,39.00,Kentucky,L,Violet,Fall,3.7,1,Next Day Air,Yes,Yes,13,PayPal,Fortnightly,2024-11-25
132,28,Male,132,Skirt,Clothing,132,357,29.00,Maine,L,Indigo,Summer,3.9,1,Standard,Yes,Yes,46,Credit Card,Weekly,2024-07-10
133,30,Male,133,Backpack,Accessories,133,358,58.00,New Mexico,M,Orange,Fall,4.7,1,2-Day Shipping,Yes,Yes,42,PayPal,Weekly,2024-09-18
134,52,Male,134,Sweater,Clothing,134,359,65.00,Montana,M,Violet,Winter,2.5,1,Next Day Air,Yes,Yes,25,Venmo,Annually,2024-01-11
135,43,Male,135,Hat,Accessories,135,361,94.00,Texas,L,Gray,Fall,4.9,1,Store Pickup,Yes,Yes,25,Cash,Monthly,2024-10-10
136,43,Male,136,Sandals,Footwear,136,362,81.00,Kansas,M,Purple,Fall,4.1,1,Express,Yes,Yes,12,PayPal,Quarterly,2024-11-15
137,39,Male,137,Blouse,Clothing,137,363,86.00,South Carolina,M,White,Winter,3.3,1,Free Shipping,Yes,Yes,4,Debit Card,Quarterly,2024-02-11
138,68,Male,138,Sneakers,Footwear,138,364,43.00,Colorado,M,Turquoise,Spring,4.7,1,Free Shipping,Yes,Yes,38,PayPal,Weekly,2024-03-02
139,68,Male,139,Skirt,Clothing,139,365,29.00,Georgia,M,Maroon,Winter,4.4,1,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly,2024-02-25
140,49,Male,140,Coat,Outerwear,140,367,95.00,Florida,M,White,Fall,3.8,1,Store Pickup,Yes,Yes,30,Venmo,Annually,2024-10-03
141,63,Male,141,Shirt,Clothing,141,368,28.00,North Carolina,L,Yellow,Fall,3.9,1,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly,2024-09-04
142,56,Male,142,Gloves,Accessories,142,369,46.00,Virginia,M,Turquoise,Fall,4.9,1,Free Shipping,Yes,Yes,45,PayPal,Weekly,2024-10-03
143,37,Male,143,Jacket,Outerwear,143,370,58.00,Nebraska,L,Violet,Fall,3.1,1,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly,2024-11-22
144,30,Male,144,Coat,Outerwear,144,371,48.00,Missouri,M,Beige,Fall,2.7,1,Store Pickup,Yes,Yes,25,PayPal,Quarterly,2024-10-19
145,19,Male,145,Shoes,Footwear,145,373,43.00,New Jersey,M,Silver,Fall,3.2,1,Express,Yes,Yes,25,Cash,Monthly,2024-09-06
146,24,Male,146,Jewelry,Accessories,146,374,95.00,Missouri,M,Teal,Fall,4.5,1,Standard,Yes,Yes,44,Debit Card,Quarterly,2024-11-14
147,52,Male,147,Skirt,Clothing,147,375,30.00,Colorado,S,Black,Fall,4,1,Standard,Yes,Yes,21,Venmo,Fortnightly,2024-11-11
148,63,Male,148,Shoes,Footwear,148,376,64.00,Idaho,M,Purple,Summer,3.5,1,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly,2024-08-24
149,37,Male,149,Gloves,Accessories,149,377,90.00,Wyoming,M,Gray,Fall,2.6,1,Store Pickup,Yes,Yes,47,Debit Card,Annually,2024-09-24
150,38,Male,150,Pants,Clothing,150,379,76.00,Delaware,M,White,Summer,3.2,1,Free Shipping,Yes,Yes,14,PayPal,Monthly,2024-08-12
151,35,Male,151,Boots,Footwear,151,380,96.00,California,L,Cyan,Fall,4.9,1,Standard,Yes,Yes,17,Debit Card,Every 3 Months,2024-09-26
152,28,Male,152,Sunglasses,Accessories,152,381,47.00,North Dakota,L,Turquoise,Fall,4.5,1,Next Day Air,Yes,Yes,3,Venmo,Annually,2024-11-08
153,30,Male,153,Shirt,Clothing,153,382,85.00,South Carolina,S,Brown,Summer,4.3,1,Express,Yes,Yes,42,Venmo,Annually,2024-06-02
154,69,Male,154,Hoodie,Clothing,154,383,55.00,North Carolina,M,Maroon,Winter,3.2,1,Standard,Yes,Yes,22,Debit Card,Annually,2024-01-21
155,41,Male,155,Dress,Clothing,155,385,98.00,Oklahoma,M,Charcoal,Fall,3.6,1,Next Day Air,Yes,Yes,21,Venmo,Quarterly,2024-10-18
156,63,Male,156,Socks,Clothing,156,386,77.00,Maine,S,Olive,Spring,4.3,1,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly,2024-05-08
157,35,Male,157,Shorts,Clothing,157,387,26.00,Missouri,M,Lavender,Fall,4,1,Standard,Yes,Yes,40,Debit Card,Annually,2024-10-05
158,36,Male,158,Hat,Accessories,158,388,68.00,Vermont,S,Yellow,Fall,3,1,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly,2024-11-24
159,25,Male,159,Shirt,Clothing,159,389,73.00,Connecticut,XL,Teal,Fall,4.1,1,Standard,Yes,Yes,50,Bank Transfer,Monthly,2024-09-02
160,58,Male,160,Gloves,Accessories,160,391,27.00,New Hampshire,M,Charcoal,Fall,3.8,1,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months,2024-11-22
161,27,Male,161,Gloves,Accessories,161,392,23.00,Texas,M,Orange,Summer,4.6,1,Free Shipping,Yes,Yes,34,Venmo,Monthly,2024-07-02
162,65,Male,162,Backpack,Accessories,162,393,49.00,North Dakota,M,Olive,Fall,3,1,Express,Yes,Yes,29,Venmo,Fortnightly,2024-11-10
163,54,Male,163,Sunglasses,Accessories,163,394,74.00,California,M,Turquoise,Summer,3,1,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly,2024-07-25
164,54,Male,164,Skirt,Clothing,164,395,67.00,Virginia,M,Purple,Summer,3.4,1,Standard,Yes,Yes,8,Debit Card,Weekly,2024-06-20
165,59,Male,165,Handbag,Accessories,165,397,65.00,Delaware,S,Purple,Spring,2.6,1,Free Shipping,Yes,Yes,5,Credit Card,Fortnightly,2024-03-09
