id,name,city,state,stars,review_count,category
lEMIuw9EuGrni4eY4FaRQQ,Ella Minnow Children's Bookstore,Manhattan,New York,3.5,3,Books
tMxzAzHSFJWjSu6CEjwtJQ,Posies Flower Studio,Manhattan,New York,4.5,3,Shopping
jpIEMrCxZ6EHCwRlkMAokg,The Sound Post,Manhattan,New York,4,5,Music & DVDs
WeUIaYtfyeX9eQKw_5xeiQ,Caz's Great Fish,Utica,New York,4.5,9,Fish & Chips
eujvfaVhdWgctXEasaYkzA,Seasons Foodmart,Elmira,New York,3,18,Imported Food
lqc424ErH0U6Z4eg-k_cQQ,Mandy's,B0st0n,Massachusetts,4.5,18,Restaurants
t8voOVIOx0_Q_VrQbgeuSg,A Mano Italian Eatery,Huntington,New York,3.5,3,Italian
Y2MhasrSTYFJM8O04IqCgQ,Restaurant des Jardiniers,Quincy,Massachusetts,5,8,Canadian (New)
XmgbQmB8SiFcWVWE1xU3fw,Taberna,B0st0n,Massachusetts,3.5,12,Portuguese
9jII6Il9Phzm6cobNexo7g,Sobeys,Utica,New York,2.5,3,Bakeries
4FIEx4XKsnpb5gKB-AJBpg,Cutdle,Manhattan,New York,3.5,3,Hair Salons
UOQwnDVFCPm34gg5MqOa8g,Kangoo Jumps New York,Manhattan,New York,4.5,3,Gyms
DXFJZkDwC8wmQHLPLEsvYQ,Ultra Supper Club,Manhattan,New York,3,19,Lounges
_BJ2lBc1TWwIfxNzXbaaBA,District 28 Bar Bistro,Manhattan,New York,3,8,Sandwiches
kMSigAcVWboEHRBzyiiScA,Sonic,Manhattan,New York,4,11,Coffee & Tea
ZbY4MnRevaWEQsJ9DB1DSA,Nature's Health Food,Manhattan,New York,4,3,Specialty Food
tbwifvIexNogBETNZY8irg,Whittamore's Berry Farm,The Bronx,New York,4.5,25,Specialty Food
eJIYkn25Sm11KK0C0EqsZA,MedVSpa,Manhattan,New York,3.5,3,Medical Spas
zMoW05c6cNwcbYG4mXcWDA,The Home Depot,B0st0n,Massachusetts,2,5,Shopping
0fVMp00yMNmtuCjCeZEc7w,Uniqlo,Manhattan,New York,3.5,24,Men's Clothing
ZHSMToFUzdVijeJvrWLNJw,The Trane Studio,Manhattan,New York,3.5,7,Jazz & Blues
NULeUErpXSit6Gshc2BreQ,Sun Nails,Manhattan,New York,2,10,Nail Salons
nM5iqNPEEDEdFLzss2ppMQ,Y Phung Watch Repair,Manhattan,New York,4.5,4,Local Services
irrqJYiN8JvOl9XwK5bhbg,KFC,Elmira,New York,2.5,5,American (Traditional)
jPs3_reHSqxpyC9jJvwR8A,Couture Et Nettoyeur C E,B0st0n,Massachusetts,1.5,3,Laundry Services
y-g76lPfb4E5LdKVxFF0RQ,Track & Field Bar,Manhattan,New York,4.5,31,Party & Event Planning
XfezCsFdaPDIJQAepZ13qA,Ample Food Market,Binghamton,New York,2,7,Food
wc1NuLiUrOKmtAcsG2lHIw,Allure Hair & Spa,Manhattan,New York,2.5,22,Hair Salons
Ae8WjL1VsWis713IqETurQ,Jacques Cartier Pizza,Quincy,Massachusetts,3,3,Pizza
zwOuVcnMnc9zfev4_1M4jQ,Rainhard Brewing,Manhattan,New York,4.5,6,Breweries
RcEaxi1h3qMIzQTDQyqNFg,Pinoy Hub,Manhattan,New York,4,5,Restaurants
5bTJ9CA2YcgyhjM9Nvrbrw,Cajun Way: Chicken & Seafood,Buffalo,New York,3,13,Restaurants
kAjCI0-7igmzWdsXbOuYWQ,The Fox,Manhattan,New York,2.5,47,Bars
e-S4GXbIEG82p9yhpDexow,Kitchen Stuff Plus,Buffalo,New York,4,5,Shopping
V-MDiyWy__EyrjNeB7Ts7Q,Umana Health,Poughkeepsie,New York,5,4,Physical Therapy
0_Twd4emsDeKa91azXGoug,Starbucks,Manhattan,New York,4,6,Coffee & Tea
8WYIG5N1tWsRtjL6DpZxqQ,Graffitti's,Poughkeepsie,New York,2,5,#N/A
F7yUPLSIullj2Du6CvTo-Q,The Bear and Firkin Pub,Lake George,New York,3,10,Pubs
fCdcxvZJjkwh7PbOOWUmJQ,Colaba Cuisine,Yonkers,New York,3.5,22,Indian
nN4L8-Zt0l0-J3KzkLjXAw,Thai Delight Restaurant,Poughkeepsie,New York,3.5,3,Restaurants
ijdlKGYIiVxuDGu-hMejHg,Top Saigon Restaurant,Niagara Falls,New York,2.5,12,Vietnamese
c9o0sBdEvER2nBeZ6HS9pw,Cineplex Odeon First The Bronx Place Cinemas,The Bronx,New York,2.5,7,Cinema
MKviRVX2QxRgGS6juCEeYg,Fantasy Eatery,Manhattan,New York,3.5,14,Chinese
ubW9VGPz6CnpDWjTrfHxgQ,Hair Smart,Niagara Falls,New York,3,3,Beauty & Spas
CWa4v0nmLoa6rm2DjXrdMg,Café Au Bout de L'isle,Worcester,Massachusetts,3.5,3,Restaurants
MoX-OXOMuOrxikH5fwuybQ,Star Scarsdale Viet Thai Cuisine,The Bronx,New York,2.5,18,Thai
7HrCELR6uv2HkgL7aT_hcQ,Chiado,Manhattan,New York,4,88,Seafood
XlhTovG_AP59XLGBmD7ipA,Bridge and Bardot,Manhattan,New York,3.5,3,Used
FyKXTyE95QWGHLSVDqaApA,New Veer Preet Service Centre,Buffalo,New York,2,6,Tires
_bmLQ4kM3AAwlLZyuuRPgA,Tutti Frutti Breakfast,Buffalo,New York,2.5,20,Breakfast & Brunch
OBSca4THBrnji7VJX4cpyw,Just Temptations,Buffalo,New York,3.5,3,Caterers
G2ES3OhOycGuqj0wW14zXw,Evergreen Natural Foods,Manhattan,New York,4.5,25,Specialty Food
29bw6uZ7I5D_XoRGXr1ALQ,Casa Creole,New Bedford,Massachusetts,4,3,Restaurants
PpvcuZ95QsaClvsTjdwFRw,Oh 3 Singes,New Bedford,Massachusetts,4.5,3,Specialty Food
Rw0kRneuwXnRTHfGnDnA5w,Green P ParScarsdale,Manhattan,New York,4,7,Automotive
WGpgb6L3knlJctBOABYHQA,Madison Manor Boutique Hotel,Manhattan,New York,2,3,Hotels
iJCI80Nwp514xIqBOgjhCA,Fat Pasha,Manhattan,New York,3.5,124,Restaurants
45rWYQPlQ4x5cFU0uuRKug,Harry's Drive-In,Newark,New Jersey,3.5,29,Burgers
s4IsetnGL_dUPb_7kgCfDQ,Sushi Jun,Queens,New York,4,8,Restaurants
wNL7DFH8wzP6iluQJnsA3w,Fresh Collective,Manhattan,New York,4,12,Shoe Stores
aEj74jHPbM3LN-p_DSyMDw,Azienda Cafe,Manhattan,New York,3.5,3,Coffee & Tea
uvjJi6j6uxP2G8Vlg9aX8A,Moxie's Grill & Bar,Poughkeepsie,New York,3.5,52,American (Traditional)
CDZlAVwVa-poKMZo1kqZoQ,Orient Retreat Spa,Niagara Falls,New York,4,4,Day Spas
xpnKW9566jhZsWHEtLH0ig,Rôtisserie St-Hubert,B0st0n,Massachusetts,4,3,Barbeque
71t6eKK4Wkdzyqj2dcRL7w,La Boîte Noire,B0st0n,Massachusetts,4,10,Shopping
n_f5fIJXPtdErd1CHEUXTA,PetSmart,The Bronx,New York,3,8,Pet Training
rq-jNRnX_CL9mNq55DO17w,Aroma Espresso Bar,Manhattan,New York,2.5,16,Food
XVxReat5L3dgeBTlR64ufA,Pizza U,B0st0n,Massachusetts,3.5,3,Pizza
_zTW9DhfQxU7HaVAu-Tsmg,Sanko Trading,Manhattan,New York,4,44,Grocery
7qHU_Zh5qEJP3DaaBHqWBg,Saigon Lotus,Manhattan,New York,4.5,48,Thai
Yi6Y7SHNp83dpVEBKhyfhQ,Strada Jewellery,Manhattan,New York,5,49,Local Services
SY-tkMJOgHqgbUd1tD-yBQ,Restaurant Cambodiana,Marlborough,Massachusetts,4.5,3,Asian Fusion
VMMLyTjrXe6qAQIXMrLp-w,Firehouse Subs,Utica,New York,4.5,6,Restaurants
lShGSRdcV-xbGLvcuj0Nag,Aeroplan,B0st0n,Massachusetts,1,8,Hotels & Travel
Z-nJT35J1Sd7l4_8ApzKAg,Tito's Pizza & Wings,Queens,New York,3,3,Chicken Wings
d9VHRDmg37JrC8o7gqHxsw,Hotel Omni Norwood,B0st0n,Massachusetts,3.5,76,Hotels
2MmMKEha9al4UPUG_aJLJw,Boucher Double,New Bedford,Massachusetts,3,4,Restaurants
WKayXylpXcAEReoqgNK3tA,The Avenue Restaurant & Lounge,Newark,New Jersey,4.5,15,Caribbean
mRDs0z_ys0h1NFh59vQqSg,KFC,Manhattan,New York,3,3,Fast Food
a0wGft8Zg0hDwOnUTPlSBQ,Roots - Eglinton Power Ctr Outlet,Newark,New Jersey,4.5,5,Leather Goods
0jn6rkjc9fvQDw5iPtvxfg,Sunny Foodmart,The Bronx,New York,3,13,Grocery
IJDY4TZIp34ow1mDBCW8Cg,New York Beauty Clinic,Manhattan,New York,3.5,3,Medical Spas
Lrle-Vr9YlLxVIEIlrHDRg,ibake,Brooklyn,New York,3.5,14,Food
xL-Ckvr8k8vEBJxC1wsCqQ,Wah Sing Seafood Restaurant,Manhattan,New York,3,70,Restaurants
g2FSpf4OTWcQauAOWjoL-g,Adelaide Hall,Manhattan,New York,3.5,10,Nightlife
674mcTNUUY7J6ByzRhiARA,VMedia,Brooklyn,New York,1.5,8,Home Services
ZsrQbYusDGkNqXMnxBhqlQ,Café Falco,B0st0n,Massachusetts,4.5,34,Japanese
u6ylhDrUV1v6g5Aex8rebw,Impact Kitchen,Manhattan,New York,3.5,65,Food
vHHHbPjhXtLApOmBoGWLww,Seaspray Restaurant,Manhattan,New York,2.5,8,Chinese
KLwTrBLp9ClmH35ZBAlbYg,Restaurant Sai Gwan,B0st0n,Massachusetts,4,16,Restaurants
5zFXFpQNGqGsnfKvACyrQg,Cafe Rico,B0st0n,Massachusetts,4.5,7,Food
bGao_iVv3TAYcZ_5y9bOCQ,Le Fagotin,Brockton,Massachusetts,5,3,Restaurants
XmfiEDGV1V1mqeEP7SurTg,Ufficio,Manhattan,New York,4,41,Cocktail Bars
bmDUty0odSexELXaEG4ELA,Gilead Cafe and Bistro,Manhattan,New York,3.5,66,Canadian (New)
uUq0bMEjt202bMbRHkIcNA,Mabu Station,Manhattan,New York,2.5,108,Desserts
N4xwumeBbIK8wWxu7E8Waw,Garrison's by the Park Barbershop,Manhattan,New York,4,50,Barbers
TkiUm9epsCchQHFVrGJNmg,Bleu Caramel,B0st0n,Massachusetts,3.5,11,Restaurants
bnynFslWzMdociRDNhAIiw,Dong Dong Pastries,Niagara Falls,New York,4,7,Desserts
Lie3btnttaXYYc1K8IjDWA,Art's Fish & Chips,Utica,New York,3,9,Restaurants
J-U6C8FgveGsDdHwRB56OQ,Global Pharmacy USA,Buffalo,New York,1.5,5,Drugstores
00cnADqESisY-PclaGK6uA,La Conca d'Oro,B0st0n,Massachusetts,5,5,Event Planning & Services
_80vznYut7O0Vq6F5-95Zw,ChocoSol Traders,Manhattan,New York,4.5,3,Food
kIBj9C-9JKEiboPbL4uhtw,Bees Knees Dance,Manhattan,New York,4,6,Specialty Schools
W7NYA7Eo_C4EN30tz7q2aQ,El Convento Rico Club,Manhattan,New York,3.5,21,Nightlife
y9cMrm4_ZSsbH00NATButQ,Chickenland,Buffalo,New York,4.5,5,Caterers
ZsA8J49XHGd6nrNhbYMejw,Toroli,B0st0n,Massachusetts,4.5,34,Restaurants
Kdt5XrqARBMIH694fgnyuA,Amicos Pizza Ristorante,Manhattan,New York,3,31,Event Planning & Services
7w2Z3pA5hahdmuA40kauBg,Adonis,Lowell,Massachusetts,3.5,10,Grocery
r-LcGgYJn9zqOwX42Lzx1w,Epicerie a Lam Kee,B0st0n,Massachusetts,4,11,Food
IflW1yOEcNQrB2SWxHKoSg,The Poet Cafe,Manhattan,New York,5,4,Food
v5ufpXJ9bU3LCp4U0Iewsg,Studio Cycle Group Inc,Manhattan,New York,4,5,Motorcycle Dealers
4XMhO5LyfFHq5rdFHkXfXQ,Chuck E. Cheese,B0st0n,Massachusetts,2.5,3,Pizza
ObCV8RUxYqJfnwh7uZGMww,Select Sandwich,Manhattan,New York,3.5,6,Breakfast & Brunch
KPkUKPQtyLbpMrGoyMmJAA,Tattoo Box Boston,B0st0n,Massachusetts,4,12,Tattoo
rsJFpQ7jSY9az7SEYwi8pA,Harmonie Orientale,Salem,Massachusetts,3,4,Sushi Bars
VF98tmCaWSCeErQdds0z-w,Daybreak,Queens,New York,4,13,Restaurants
ESeL9xjkDEiL0GzLMbEmqA,Dispatch Coffee,B0st0n,Massachusetts,3.5,6,Food
tc3fBQqkmtEa53Ap1enE4A,Dunfield Club,Manhattan,New York,3.5,13,Fitness & Instruction
_1eT4mAskvdk8vJSl61TEQ,Beauty Queen Hair & Esthetics,Manhattan,New York,2.5,3,Beauty & Spas
vnxDFDUH_y-hsKqOZ9fEpg,Fusion Hair Studio,Niagara Falls,New York,3.5,9,Beauty & Spas
rxr0kjcVwX22QI2Hq5iA4w,Grappa Restaurant,Manhattan,New York,3.5,20,Restaurants
gLvBBrz7GaEbec3KlfVlLA,Sbarro,Ithaca,New York,3,4,Pizza
FQy3it-XBt6XnZFTK2UoCA,Timothys Coffees of the World,Manhattan,New York,3.5,7,Coffee & Tea
kMQFHW2aQL8qPvueZDJv1x,Four Points by Sheraton Hotel & Suites,B0st0n,Massachusetts,2.5,3,#N/A
D7nZVc4tm6_-6X6dYBiaHg,Starbucks,Manhattan,New York,2.5,10,Food
OA1o0ixPWw-maEq2CF1Qag,Kiin,Manhattan,New York,4,41,Restaurants
hB6zLH4TwV81o1b2SfnDUA,Shirin Mahal Bakery & Sweets,Manhattan,New York,3.5,4,Food
ewkZj2cKq5wBB2TOqj8Mug,Concession Road,Manhattan,New York,4,32,Restaurants
XXqHbsf-sOZfwSS4gLWU4A,Hive Café,B0st0n,Massachusetts,2.5,4,Salad
tvDZJVdwCLgAD-EfZblpGQ,The Corned Beef House,Ithaca,New York,4.5,6,Restaurants
cW4IU7Kq6fXI4pDIYDz3tA,The Puck Sports Bar and Grill,Manhattan,New York,3,16,Sports Bars
ishZ97FeVMr78s2rKlzROQ,Momo Tea,Niagara Falls,New York,4,6,Tea Rooms
DwG7_vYztZP-AMXEIvGgFA,Christine Cs Shortbread,Manhattan,New York,5,3,Food
Fu5rL-dPs-VNW0k315xMbw,Fantasy Eatery,Niagara Falls,New York,3,37,Restaurants
c4N5uWUmw6lwCHiJxsvEEg,McDonald's,Buffalo,New York,1.5,7,Fast Food
lIEahf71RLPJ_rFBJ5fqzQ,Sala Modern Thai Kitchen & Bar,Manhattan,New York,4,40,Asian Fusion
HRBnH1lbsjHDcZWvwryWGg,Hôtel Chez Swann,B0st0n,Massachusetts,4,34,Hotels
oBuFzfKprMOxd9T2ytjZhw,I Deal Coffee,Manhattan,New York,4,13,Coffee & Tea
u1wI2d12J6rbDFFUTG9c5Q,CherryBerry,The Bronx,New York,4,9,Ice Cream & Frozen Yogurt
OMWHA7yVjk1epDnC5Ohg4w,Subway,Manhattan,New York,1.5,3,Restaurants
RwWrH8xXMrm4QUJKKlo7zQ,Pro Hockey Life,Ithaca,New York,4,6,Sporting Goods
FRuuIDOd21pTJHvEGIt1Gg,Holder Restaurant Bar,B0st0n,Massachusetts,4,235,Restaurants
uHgQgxfksSyqTzRRfRh0_w,The Ice Cream Shop Oneonta,Ithaca,New York,3.5,3,Ice Cream & Frozen Yogurt
qu9mGrHooIcyo7Ly1cqDFA,Pizzéria Piccante,Framingham,Massachusetts,4,4,Restaurants
9qSf1EHgJ9mVScKl30eRYg,Comfort Suites Downtown,B0st0n,Massachusetts,3.5,10,Hotels
aMWcnH5b5_B2tlquZnLBHw,Happy Noodle,Manhattan,New York,4,12,Restaurants
RN17Ce_ITWJODYlhEjehZw,Wrentham,B0st0n,Massachusetts,3.5,27,Department Stores
sxUQbWFfna2jHmAaXELOuw,Ganto Sushi,Manhattan,New York,3,6,Restaurants
KhBRnmB4D3NxcsV9dg8giA,Birds And Beans Cafe,Poughkeepsie,New York,4,50,Restaurants
N-11FCEppz5NVYZVM2G5yA,Fit Dogs,Manhattan,New York,3,4,Dog Walkers
yXnyHetmUlM_LOxUbLauog,Zec Café,B0st0n,Massachusetts,4,4,Restaurants
y_WxwLoH-MEINB3RTVy8dQ,Ginza Sushi Restaurant,Oneonta,New York,3.5,48,Sushi Bars
vbWQvKr3fl-RvogVeLXk3g,Soia & Kyo,B0st0n,Massachusetts,1.5,3,Fashion
xi109DyT11hpD93z4FAHug,Crywolf,Manhattan,New York,4,6,Arts & Crafts
hRHnzrGCVsHItdSsapkyYg,Koza Kebab & Grill House,Manhattan,New York,4.5,9,Mediterranean
K6Cz-e5h3Z9TH0uYIhWT2w,Mikes Restaurants,B0st0n,Massachusetts,2.5,5,Restaurants
r-xia4iLBMFxAiUfpY-vig,Target,Manhattan,New York,2,13,Department Stores
2RWOMcGakXHEdgFctf03Eg,La Petite Gondole,B0st0n,Massachusetts,4.5,4,Halal
PU6w0HlUmpZXxlbc31gqTQ,Dunkin',Andover,Massachusetts,3,4,Cafes
xZkEavhjO4r-6D1QS9aAgg,Gadabout,Manhattan,New York,4,6,Shopping
SLS_Ld3nVj91JJGks1yOTQ,OPA! of Greece Dundas Street,Manhattan,New York,3,8,Restaurants
bO_XtMjGqV-l8x023KREpg,Dutch Bros. Coffee,Binghamton,New York,4,4,Coffee & Tea
p2i_ZU48IhgNgCjnM08DQg,Vescada Salon,Manhattan,New York,3,11,Hair Salons
yX4anPCzNGDQ-v8_uug2yg,Kensington Natural Bakery,Manhattan,New York,3,15,Restaurants
KPsRJrK0totR-_QRVsC0fg,Bar Oak,Manhattan,New York,3.5,12,American (New)
2H03AHK21D3WMOjkP1DS2A,State & Main,Syracuse,New York,3,30,Bars
tNJBD6CleWS821Y024GTqw,The Greek Point,The Bronx,New York,2.5,20,Greek
fE-dFRyFWP4ZiijhCEMxIg,Café By Kwin,Manhattan,New York,3.5,9,Salad
SdStiFh7yOQQ1Id2zQwJ1w,Downtown Porsche,Manhattan,New York,3,5,Automotive
qd-nuT8GlS3hsjKmDDj72g,Burrito Boyz,Buffalo,New York,4,67,Restaurants
m9la92P5EOJq5Cr4fcP7Zg,Niagara Falls Day Tour,Manhattan,New York,2.5,3,Tours
fo_w5L2x00wS4NMHzE8oyg,Sandoozles Smokehouse & Pub,Manhattan,New York,2,4,Barbeque
KmMTqav3TjbDAHhQzbvuQQ,Scooter's Roller Palace,Buffalo,New York,4,16,Active Life
kEq7eudoX5qdcaSLAq3axw,Paris Bakery & Pastry,Manhattan,New York,3,16,Bakeries
P9Itkji-aaA_m86s81TKXQ,Salon De Coiffure Chez Stephane Coiffure & Esthetiqu,B0st0n,Massachusetts,3,3,Beauty & Spas
ipNHAHzEcdUj9lfNy8TEdQ,Zara,Buffalo,New York,2.5,5,Women's Clothing
_ysKN1qNIPrzfL7BaQxG6g,The Art Shoppe,Manhattan,New York,2,4,Shopping
Fz1r4nl8kUYN9JvVYKvqMw,Bo 7 Mon,Manhattan,New York,3.5,5,Vietnamese
ikUAY164va8chsgFFhfQhw,SPA Bêtes V I P,B0st0n,Massachusetts,4.5,3,Pets
iTlJEtq4fnkkADgVjoUhXQ,Mourelatos Supermarket,Fall River,Massachusetts,4,3,Grocery
5UH5pP7rKi3idkUUzoiXyA,Prince Maki Sushi Plus,Boston,Massachusetts,4.5,6,Japanese
UXpXavd3EbJU1xh32iTo_g,NYC Service,The Bronx,New York,3,4,Public Services & Government
FwcIo83tMqzU6COsUHBGAg,Whelan's Gate Gastropub,Manhattan,New York,4,13,Restaurants
EOGH9EJyS_VerDZx3lsjTw,Ivory Parade,Manhattan,New York,3.5,6,Cards & Stationery
SDbHqXI9sEQRZCLIlknyKA,William Ashley Warehouse Sale,Manhattan,New York,4,8,Shopping
gqGnHza3_7Y53NzXEzDpzg,Dunkin',Manhattan,New York,2,5,Coffee & Tea
JiLSzIsXDXGZbR8OdwIYmw,Thomas Lavers Cannery & Delicatessen,Manhattan,New York,4,15,Delis
F-AYOq1xIY2u_qmWUG5VBw,Hakka Ren,Buffalo,New York,3.5,58,Indian
0SzsjK9u-tiYgefzJO04jw,Cone Gyro Bar,B0st0n,Massachusetts,3.5,6,Greek
7F6YzrTNdRz5teRSNbRq9C,Sweet Lee's,Cambridge,Massachusetts,4.5,33,#N/A
_WOqh3hBx3qqzE-Jf-bLKA,Imprint Pilates,Manhattan,New York,4.5,10,Yoga
D1Mhqi69HAGeHhs-rB5-yA,Dunkin',Queens,New York,4.5,4,Restaurants
WVOtgN0CU8vZvClch1SYDg,L'Antre Nous,New Bedford,Massachusetts,4.5,3,Breakfast & Brunch
MqT4cWU_BHBm0kpxqyMg0w,McDonalds,Manhattan,New York,1.5,6,Active Life
XTiYRBjgSFjIx8wKKjQvkg,Sears,Fall River,Massachusetts,1,4,Department Stores
iVxtmA5K0YHUVqeYuZ41KQ,Sushi Tower,Manhattan,New York,3,24,Sushi Bars
dHDly8l7xbbk6jRz-CYRZw,Hair By Flora,Manhattan,New York,2,6,Beauty & Spas
xbrzeSs5xDcEL1g6SI9-fA,ACE Rent a Car,Manhattan,New York,1,4,Airports
4KdjZ4UkZOtTikWHXCz9EA,Mendocino,Manhattan,New York,4,3,Women's Clothing
LDMzekefCl0g2WNybJG86g,Le Biftheque,Fall River,Massachusetts,2.5,25,Steakhouses
3zJdvcJldp8OTYfaQhy6Iw,Marc Anthony Salon,Manhattan,New York,1.5,9,Beauty & Spas
br2M2b-CsXI0HY0RXvHl0w,El Sombrero,Buffalo,New York,4,86,Mexican
74WSUrXFvEGCbrQedj_0Xw,Mike and Lori's No Frills,Newark,New Jersey,3,8,Department Stores
HaBNgcFkE4GggOoecDaSdA,Messis,Manhattan,New York,4,19,Modern European
uOSpNcsEKLsc-v6HSfzifA,D & K Spa Nails,Manhattan,New York,4,3,Hair Removal
3YS0rwSApGFouybkknQfkQ,Dolce Lucano,Oneonta,New York,4,3,Specialty Food
I-Xwbv0xGSYbs3WesYBxsw,Restaurant Cafe Promenades Brockton,B0st0n,Massachusetts,4,3,Canadian (New)
VOm_VVok4zS_tfFaz6GQlg,Il Bun Ji Restaurant,Manhattan,New York,3.5,9,Korean
MrmwDgMlL2GtthlAZsJwNQ,SCADDABUSH Italian Kitchen & Bar,The brox,New York,3.5,268,Nightlife
HiQUSQcybN-cehXefdddtg,Lave-Auto St-Urbain Laurier,Boston,Massachusetts,1.5,7,Auto Detailing
oE4LLveAUHqLcDRQvfo9LQ,Basic Kneads Massage Therapy & Wellness Centre,Poughkeepsie,New York,5,4,Beauty & Spas
32FkzNqL6bYZ5CCrCF4JiA,Brutus Bar,B0st0n,Massachusetts,3,28,Pubs
