product_category,product_season,product_rating,total_revenue,avg_spend,purchase_count
Footwear,Summer,3.00,611.00,67.888889,9
Accessories,Fall,4.60,611.00,50.916667,12
Footwear,Fall,3.40,606.00,75.750000,8
Clothing,Summer,2.80,602.00,50.166667,12
Accessories,Spring,4.30,593.00,49.416667,12
Accessories,Winter,3.10,590.00,53.636364,11
Footwear,Summer,4.60,589.00,53.545455,11
Accessories,Summer,3.00,588.00,58.800000,10
Clothing,Summer,3.60,577.00,48.083333,12
Accessories,Winter,3.70,576.00,52.363636,11
Clothing,Winter,2.50,563.00,56.300000,10
Footwear,Fall,4.00,563.00,51.181818,11
Accessories,Spring,2.60,558.00,62.000000,9
Footwear,Winter,3.90,556.00,61.777778,9
Footwear,Spring,3.20,555.00,61.666667,9
Footwear,Spring,3.10,554.00,55.400000,10
Footwear,Winter,4.80,550.00,61.111111,9
Footwear,Winter,4.40,544.00,68.000000,8
Clothing,Summer,4.30,543.00,49.363636,11
Clothing,Winter,4.50,542.00,49.272727,11
Footwear,Summer,2.70,538.00,59.777778,9
Footwear,Winter,3.20,527.00,87.833333,6
Footwear,Fall,3.80,526.00,65.750000,8
Footwear,Spring,4.70,523.00,74.714286,7
Accessories,Summer,3.80,521.00,57.888889,9
Footwear,Spring,4.00,512.00,56.888889,9
Accessories,Fall,2.80,508.00,56.444444,9
Accessories,Spring,3.90,505.00,63.125000,8
Accessories,Winter,2.50,502.00,62.750000,8
Footwear,Summer,4.40,501.00,55.666667,9
