purchase_id,product_ID,customer_id,purchase_amount,purchase_shipping type,purchase_discount,purchase_promocode,purchase_payment type
347,11346,124,89,Free Shipping,Yes,Yes,Cash
349,11347,125,86,Next Day Air,Yes,Yes,PayPal
350,11348,126,54,Next Day Air,Yes,Yes,Venmo
351,11349,127,36,Store Pickup,Yes,Yes,Cash
352,11350,128,89,Next Day Air,Yes,Yes,Credit Card
353,11351,129,32,Standard,Yes,Yes,Credit Card
355,11352,130,67,2-Day Shipping,Yes,Yes,PayPal
356,11353,131,39,Next Day Air,Yes,Yes,PayPal
357,11354,132,29,Standard,Yes,Yes,Credit Card
358,11355,133,58,2-Day Shipping,Yes,Yes,PayPal
359,11356,134,65,Next Day Air,Yes,Yes,Venmo
361,11357,135,94,Store Pickup,Yes,Yes,Cash
362,11358,136,81,Express,Yes,Yes,PayPal
363,11359,137,86,Free Shipping,Yes,Yes,Debit Card
364,11360,138,43,Free Shipping,Yes,Yes,PayPal
365,11361,139,29,Store Pickup,Yes,Yes,Bank Transfer
367,11362,140,95,Store Pickup,Yes,Yes,Venmo
368,11363,141,28,2-Day Shipping,Yes,Yes,Credit Card
369,11364,142,46,Free Shipping,Yes,Yes,PayPal
370,11365,143,58,Free Shipping,Yes,Yes,Credit Card
371,11366,144,48,Store Pickup,Yes,Yes,PayPal
373,11367,145,43,Express,Yes,Yes,Cash
374,11368,146,95,Standard,Yes,Yes,Debit Card
375,11369,147,30,Standard,Yes,Yes,Venmo
376,11370,148,64,2-Day Shipping,Yes,Yes,Bank Transfer
377,11371,149,90,Store Pickup,Yes,Yes,Debit Card
379,11372,150,76,Free Shipping,Yes,Yes,PayPal
380,11373,151,96,Standard,Yes,Yes,Debit Card
381,11374,152,47,Next Day Air,Yes,Yes,Venmo
382,11375,153,85,Express,Yes,Yes,Venmo
383,11376,154,55,Standard,Yes,Yes,Debit Card
385,11377,155,98,Next Day Air,Yes,Yes,Venmo
386,11378,156,77,Free Shipping,Yes,Yes,Bank Transfer
387,11379,157,26,Standard,Yes,Yes,Debit Card
388,11380,158,68,Next Day Air,Yes,Yes,Bank Transfer
389,11381,159,73,Standard,Yes,Yes,Bank Transfer
391,11382,160,27,Store Pickup,Yes,Yes,Bank Transfer
392,11383,161,23,Free Shipping,Yes,Yes,Venmo
393,11384,162,49,Express,Yes,Yes,Venmo
394,11385,163,74,Store Pickup,Yes,Yes,PayPal
395,11386,164,67,Standard,Yes,Yes,Debit Card
397,11387,165,65,Free Shipping,Yes,Yes,Credit Card
398,11388,166,60,Store Pickup,Yes,Yes,Cash
399,11389,167,31,Store Pickup,Yes,Yes,Cash
400,11390,168,27,Express,Yes,Yes,Credit Card
401,11391,169,80,Express,Yes,Yes,Cash
403,11392,170,30,Standard,Yes,Yes,PayPal
404,11393,171,25,Store Pickup,Yes,Yes,Venmo
405,11394,172,35,Store Pickup,Yes,Yes,Credit Card
406,11395,173,67,Next Day Air,Yes,Yes,Credit Card
407,11396,174,46,Standard,Yes,Yes,Cash
409,11397,175,35,Express,Yes,Yes,Venmo
410,11398,176,86,Next Day Air,Yes,Yes,Bank Transfer
411,11399,177,81,Next Day Air,Yes,Yes,Credit Card
412,11400,178,42,Next Day Air,Yes,Yes,Bank Transfer
413,11401,179,43,2-Day Shipping,Yes,Yes,PayPal
415,11402,180,31,Store Pickup,Yes,Yes,Bank Transfer
416,11403,181,81,Store Pickup,Yes,Yes,Debit Card
417,11404,182,61,Next Day Air,Yes,Yes,Bank Transfer
418,11405,183,96,Store Pickup,Yes,Yes,Debit Card
419,11406,184,29,2-Day Shipping,Yes,Yes,Credit Card
421,11407,185,33,Express,Yes,Yes,Cash
422,11408,186,32,Store Pickup,Yes,Yes,Bank Transfer
423,11409,187,56,Standard,Yes,Yes,Debit Card
424,11410,188,94,Store Pickup,Yes,Yes,Bank Transfer
425,11411,189,53,Express,Yes,Yes,Bank Transfer
427,11412,190,82,Next Day Air,Yes,Yes,Credit Card
428,11413,191,70,Free Shipping,Yes,Yes,Venmo
429,11414,192,76,Free Shipping,Yes,Yes,Cash
430,11415,193,29,Express,Yes,Yes,PayPal
431,11416,194,100,Standard,Yes,Yes,Venmo
433,11417,195,94,Express,Yes,Yes,Debit Card
434,11418,196,25,Free Shipping,Yes,Yes,Credit Card
435,11419,197,88,Next Day Air,Yes,Yes,Credit Card
436,11420,198,78,2-Day Shipping,Yes,Yes,Credit Card
437,11421,199,45,Standard,Yes,Yes,Credit Card
439,11422,200,73,Express,Yes,Yes,Cash
440,11423,201,61,Next Day Air,Yes,Yes,Venmo
441,11424,202,22,Free Shipping,Yes,Yes,Bank Transfer
442,11425,203,38,Express,Yes,Yes,Venmo
443,11426,204,38,Next Day Air,Yes,Yes,Bank Transfer
445,11427,205,100,Store Pickup,Yes,Yes,Cash
446,11428,206,64,Standard,Yes,Yes,PayPal
447,11429,207,55,Free Shipping,Yes,Yes,Venmo
448,11430,208,91,Express,Yes,Yes,Bank Transfer
449,11431,209,38,Store Pickup,Yes,Yes,Credit Card
451,11432,210,97,Store Pickup,Yes,Yes,Cash
452,11433,211,22,2-Day Shipping,Yes,Yes,PayPal
453,11434,212,92,2-Day Shipping,Yes,Yes,Debit Card
454,11435,213,84,Express,Yes,Yes,Debit Card
455,11436,214,93,Store Pickup,Yes,Yes,Debit Card
457,11437,215,50,Next Day Air,Yes,Yes,Cash
458,11438,216,64,2-Day Shipping,Yes,Yes,PayPal
459,11439,217,61,Free Shipping,Yes,Yes,Venmo
460,11440,218,48,Next Day Air,Yes,Yes,Bank Transfer
461,11441,219,45,Store Pickup,Yes,Yes,Credit Card
463,11442,220,88,Free Shipping,Yes,Yes,Cash
464,11443,221,57,Express,Yes,Yes,Debit Card
465,11444,222,68,Store Pickup,Yes,Yes,Bank Transfer
466,11445,223,94,2-Day Shipping,Yes,Yes,PayPal
467,11446,224,41,Free Shipping,Yes,Yes,PayPal
469,11447,225,83,Free Shipping,Yes,Yes,Cash
470,11448,226,22,Next Day Air,Yes,Yes,Bank Transfer
471,11449,227,74,Free Shipping,Yes,Yes,PayPal
472,11450,228,90,Standard,Yes,Yes,Venmo
473,11451,229,79,Store Pickup,Yes,Yes,Credit Card
475,11452,230,28,Next Day Air,Yes,Yes,PayPal
476,11453,231,88,Standard,Yes,Yes,Credit Card
477,11454,232,26,2-Day Shipping,Yes,Yes,Debit Card
478,11455,233,27,Express,Yes,Yes,Bank Transfer
479,11456,234,83,Next Day Air,Yes,Yes,Bank Transfer
481,11457,235,39,Next Day Air,Yes,Yes,Credit Card
482,11458,236,89,Free Shipping,Yes,Yes,Debit Card
483,11459,237,68,Next Day Air,Yes,Yes,PayPal
484,11460,238,90,Store Pickup,Yes,Yes,Debit Card
485,11461,239,34,Free Shipping,Yes,Yes,Cash
487,11462,240,51,Express,Yes,Yes,Credit Card
488,11463,241,45,Free Shipping,Yes,Yes,Bank Transfer
489,11464,242,88,Free Shipping,Yes,Yes,Venmo
490,11465,243,85,Store Pickup,Yes,Yes,Debit Card
491,11466,244,100,2-Day Shipping,Yes,Yes,Debit Card
493,11467,245,42,2-Day Shipping,Yes,Yes,PayPal
494,11468,246,53,Next Day Air,Yes,Yes,Venmo
495,11469,247,86,Express,Yes,Yes,Venmo
496,11470,248,66,Standard,Yes,Yes,Debit Card
497,11471,249,100,Express,Yes,Yes,PayPal
499,11472,250,47,Standard,Yes,Yes,Credit Card
500,11473,251,25,Express,Yes,Yes,Bank Transfer
501,11474,252,51,Standard,Yes,Yes,PayPal
502,11475,253,41,Free Shipping,Yes,Yes,Venmo
503,11476,254,73,2-Day Shipping,Yes,Yes,Bank Transfer
505,11477,255,42,Store Pickup,Yes,Yes,PayPal
506,11478,256,20,Free Shipping,Yes,Yes,Debit Card
507,11479,257,30,Express,Yes,Yes,Credit Card
508,11480,258,53,Express,Yes,Yes,Credit Card
509,11481,259,74,Express,Yes,Yes,Cash
511,11482,260,57,Standard,Yes,Yes,Debit Card
512,11483,261,57,2-Day Shipping,Yes,Yes,Credit Card
513,11484,262,77,Standard,Yes,Yes,Credit Card
514,11485,263,40,Next Day Air,Yes,Yes,Debit Card
515,11486,264,46,Store Pickup,Yes,Yes,Venmo
517,11487,265,78,Store Pickup,Yes,Yes,Cash
518,11488,266,59,2-Day Shipping,Yes,Yes,Bank Transfer
519,11489,267,75,Express,Yes,Yes,Credit Card
520,11490,268,54,2-Day Shipping,Yes,Yes,Venmo
521,11491,269,42,Store Pickup,Yes,Yes,Cash
523,11492,270,44,Next Day Air,Yes,Yes,Cash
524,11493,271,52,Free Shipping,Yes,Yes,Bank Transfer
525,11494,272,69,Express,Yes,Yes,Credit Card
526,11495,273,26,2-Day Shipping,Yes,Yes,Debit Card
527,11496,274,33,Express,Yes,Yes,Debit Card
529,11497,275,32,Express,Yes,Yes,Cash
530,11498,276,85,Express,Yes,Yes,Credit Card
531,11499,277,30,Express,Yes,Yes,Bank Transfer
532,11500,278,29,Store Pickup,Yes,Yes,Bank Transfer
533,11501,279,95,Express,Yes,Yes,Debit Card
535,11502,280,69,Standard,Yes,Yes,Bank Transfer
536,11503,281,69,2-Day Shipping,Yes,Yes,Cash
537,11504,282,61,Standard,Yes,Yes,Debit Card
538,11505,283,94,2-Day Shipping,Yes,Yes,Cash
539,11506,284,30,Next Day Air,Yes,Yes,Venmo
541,11507,285,45,Standard,Yes,Yes,PayPal
542,11508,286,39,Express,Yes,Yes,Debit Card
543,11509,287,51,Store Pickup,Yes,Yes,Debit Card
544,11510,288,37,2-Day Shipping,Yes,Yes,Venmo
545,11511,289,62,2-Day Shipping,Yes,Yes,Venmo
547,11512,290,85,2-Day Shipping,Yes,Yes,Credit Card
548,11513,291,33,Standard,Yes,Yes,PayPal
549,11514,292,26,Next Day Air,Yes,Yes,Bank Transfer
550,11515,293,99,Free Shipping,Yes,Yes,Cash
551,11516,294,39,Express,Yes,Yes,PayPal
553,11517,295,20,Store Pickup,Yes,Yes,Credit Card
554,11518,296,42,Store Pickup,Yes,Yes,Credit Card
555,11519,297,74,2-Day Shipping,Yes,Yes,Credit Card
556,11520,298,26,Standard,Yes,Yes,Credit Card
557,11521,299,53,Standard,Yes,Yes,Venmo
559,11522,300,80,Next Day Air,Yes,Yes,PayPal
560,11523,301,98,Store Pickup,Yes,Yes,PayPal
561,11524,302,95,Standard,Yes,Yes,Credit Card
562,11525,303,44,Express,Yes,Yes,Bank Transfer
563,11526,304,60,Next Day Air,Yes,Yes,Venmo
565,11527,305,84,Next Day Air,Yes,Yes,Credit Card
566,11528,306,59,2-Day Shipping,Yes,Yes,PayPal
567,11529,307,49,Express,Yes,Yes,Cash
568,11530,308,32,Free Shipping,Yes,Yes,Credit Card
569,11531,309,29,Standard,Yes,Yes,Venmo
571,11532,310,22,Standard,Yes,Yes,Cash
572,11533,311,85,Standard,Yes,Yes,Cash
573,11534,312,52,Store Pickup,Yes,Yes,Bank Transfer
574,11535,313,89,Next Day Air,Yes,Yes,PayPal
575,11536,314,77,Express,Yes,Yes,Credit Card
577,11537,315,24,Store Pickup,Yes,Yes,Debit Card
578,11538,316,24,Express,Yes,Yes,Debit Card
579,11539,317,22,Free Shipping,Yes,Yes,Venmo
580,11540,318,82,Standard,Yes,Yes,Cash
581,11541,319,67,Standard,Yes,Yes,Cash
583,11542,320,74,Standard,Yes,Yes,Cash
584,11543,321,72,Standard,Yes,Yes,Debit Card
585,11544,322,36,Free Shipping,Yes,Yes,Debit Card
586,11545,323,95,Standard,Yes,Yes,Credit Card
587,11546,324,78,Next Day Air,Yes,Yes,PayPal
589,11547,325,82,Standard,Yes,Yes,Venmo
590,11548,326,70,Free Shipping,Yes,Yes,Debit Card
591,11549,327,41,Store Pickup,Yes,Yes,Bank Transfer
592,11550,328,42,Free Shipping,Yes,Yes,PayPal
593,11551,329,50,Free Shipping,Yes,Yes,Credit Card
595,11552,330,31,2-Day Shipping,Yes,Yes,Bank Transfer
596,11553,331,51,Express,Yes,Yes,Venmo
597,11554,332,98,Store Pickup,Yes,Yes,PayPal
598,11555,333,86,2-Day Shipping,Yes,Yes,Credit Card
599,11556,334,64,Standard,Yes,Yes,Bank Transfer
601,11557,335,46,Next Day Air,Yes,Yes,Credit Card
602,11558,336,85,Standard,Yes,Yes,Venmo
603,11559,337,81,Express,Yes,Yes,PayPal
604,11560,338,59,2-Day Shipping,Yes,Yes,Bank Transfer
605,11561,339,79,Express,Yes,Yes,Cash
607,11562,340,33,2-Day Shipping,Yes,Yes,Credit Card
608,11563,341,47,Express,Yes,Yes,Venmo
609,11564,342,20,Store Pickup,Yes,Yes,Debit Card
610,11565,343,36,Next Day Air,Yes,Yes,Credit Card
611,11566,344,39,Next Day Air,Yes,Yes,Venmo
613,11567,345,71,Standard,Yes,Yes,Debit Card
614,11568,346,59,Next Day Air,Yes,Yes,Bank Transfer
615,11569,347,50,Next Day Air,Yes,Yes,Cash
616,11570,348,41,Store Pickup,Yes,Yes,PayPal
617,11571,349,59,Free Shipping,Yes,Yes,PayPal
619,11572,350,87,2-Day Shipping,Yes,Yes,Bank Transfer
620,11573,351,68,2-Day Shipping,Yes,Yes,Bank Transfer
621,11574,352,90,Standard,Yes,Yes,Debit Card
622,11575,353,71,Next Day Air,Yes,Yes,Cash
623,11576,354,64,Store Pickup,Yes,Yes,Debit Card
625,11577,355,76,Free Shipping,Yes,Yes,Venmo
626,11578,356,42,2-Day Shipping,Yes,Yes,PayPal
627,11579,357,80,Standard,Yes,Yes,Cash
628,11580,358,56,Standard,Yes,Yes,Credit Card
629,11581,359,25,Express,Yes,Yes,Credit Card
631,11582,360,74,Store Pickup,Yes,Yes,Credit Card
632,11583,361,30,Standard,Yes,Yes,Debit Card
633,11584,362,96,Free Shipping,Yes,Yes,Cash
634,11585,363,64,Free Shipping,Yes,Yes,Venmo
635,11586,364,88,Free Shipping,Yes,Yes,Bank Transfer
637,11587,365,88,Free Shipping,Yes,Yes,Venmo
638,11588,366,88,Standard,Yes,Yes,PayPal
639,11589,367,36,Store Pickup,Yes,Yes,Venmo
640,11590,368,40,Store Pickup,Yes,Yes,Bank Transfer
641,11591,369,39,Standard,Yes,Yes,Cash
643,11592,370,40,Store Pickup,Yes,Yes,PayPal
644,11593,371,34,Express,Yes,Yes,PayPal
645,11594,372,83,2-Day Shipping,Yes,Yes,PayPal
646,11595,373,85,Standard,Yes,Yes,Debit Card
647,11596,374,27,Express,Yes,Yes,Venmo
649,11597,375,78,Store Pickup,Yes,Yes,Bank Transfer
650,11598,376,32,Standard,Yes,Yes,Debit Card
651,11599,377,51,Express,Yes,Yes,Venmo
652,11600,378,32,Standard,Yes,Yes,Credit Card
653,11601,379,62,Next Day Air,Yes,Yes,Credit Card
655,11602,380,29,2-Day Shipping,Yes,Yes,Debit Card
656,11603,381,69,Store Pickup,Yes,Yes,Bank Transfer
657,11604,382,25,Store Pickup,Yes,Yes,Credit Card
658,11605,383,76,Store Pickup,Yes,Yes,PayPal
659,11606,384,77,Standard,Yes,Yes,PayPal
661,11607,385,33,2-Day Shipping,Yes,Yes,Venmo
662,11608,386,93,Next Day Air,Yes,Yes,Credit Card
663,11609,387,39,Express,Yes,Yes,PayPal
664,11610,388,93,Store Pickup,Yes,Yes,PayPal
665,11611,389,82,Store Pickup,Yes,Yes,PayPal
667,11612,390,42,Standard,Yes,Yes,Bank Transfer
668,11613,391,71,2-Day Shipping,Yes,Yes,PayPal
669,11614,392,86,Standard,Yes,Yes,Cash
670,11615,393,82,Next Day Air,Yes,Yes,Credit Card
671,11616,394,65,Standard,Yes,Yes,PayPal
673,11617,395,29,Store Pickup,Yes,Yes,Debit Card
674,11618,396,65,Store Pickup,Yes,Yes,PayPal
675,11619,397,88,Standard,Yes,Yes,Bank Transfer
676,11620,398,46,Free Shipping,Yes,Yes,Cash
677,11621,399,67,Free Shipping,Yes,Yes,Debit Card
679,11622,400,35,2-Day Shipping,Yes,Yes,Debit Card
680,11623,401,66,Free Shipping,Yes,Yes,PayPal
681,11624,402,91,Standard,Yes,Yes,Cash
682,11625,403,78,Express,Yes,Yes,PayPal
683,11626,404,45,Next Day Air,Yes,Yes,Bank Transfer
685,11627,405,93,Store Pickup,Yes,Yes,Credit Card
686,11628,406,74,Standard,Yes,Yes,Cash
687,11629,407,55,Express,Yes,Yes,Cash
688,11630,408,76,Next Day Air,Yes,Yes,Credit Card
689,11631,409,66,Express,Yes,Yes,Cash
691,11632,410,51,2-Day Shipping,Yes,Yes,Bank Transfer
692,11633,411,26,2-Day Shipping,Yes,Yes,Credit Card
693,11634,412,29,Express,Yes,Yes,PayPal
694,11635,413,74,Store Pickup,Yes,Yes,Bank Transfer
695,11636,414,99,Free Shipping,Yes,Yes,Cash
697,11637,415,88,Store Pickup,Yes,Yes,Debit Card
698,11638,416,31,Express,Yes,Yes,Bank Transfer
699,11639,417,55,Free Shipping,Yes,Yes,Bank Transfer
700,11640,418,81,Free Shipping,Yes,Yes,Debit Card
701,11641,419,73,Standard,Yes,Yes,Venmo
703,11642,420,91,Free Shipping,Yes,Yes,Credit Card
704,11643,421,54,Free Shipping,Yes,Yes,Debit Card
705,11644,422,40,Standard,Yes,Yes,Cash
706,11645,423,59,Store Pickup,Yes,Yes,Debit Card
707,11646,424,26,Store Pickup,Yes,Yes,Credit Card
709,11647,425,23,Standard,Yes,Yes,PayPal
710,11648,426,87,Store Pickup,Yes,Yes,Credit Card
711,11649,427,71,Express,Yes,Yes,Credit Card
712,11650,428,91,Store Pickup,Yes,Yes,Credit Card
713,11651,429,64,Free Shipping,Yes,Yes,Debit Card
715,11652,430,94,2-Day Shipping,Yes,Yes,Cash
716,11653,431,40,Store Pickup,Yes,Yes,Debit Card
717,11654,432,76,Store Pickup,Yes,Yes,Cash
718,11655,433,86,Free Shipping,Yes,Yes,Venmo
719,11656,434,92,Store Pickup,Yes,Yes,Credit Card
721,11657,435,52,Store Pickup,Yes,Yes,PayPal
722,11658,436,28,Next Day Air,Yes,Yes,Bank Transfer
723,11659,437,46,Free Shipping,Yes,Yes,Bank Transfer
724,11660,438,50,Next Day Air,Yes,Yes,PayPal
725,11661,439,23,Express,Yes,Yes,Credit Card
727,11662,440,50,Free Shipping,Yes,Yes,Cash
728,11663,441,89,Store Pickup,Yes,Yes,Debit Card
729,11664,442,81,Standard,Yes,Yes,Credit Card
730,11665,443,69,Store Pickup,Yes,Yes,Credit Card
731,11666,444,67,Free Shipping,Yes,Yes,PayPal
733,11667,445,20,Store Pickup,Yes,Yes,Debit Card
734,11668,446,29,Standard,Yes,Yes,Venmo
735,11669,447,74,Store Pickup,Yes,Yes,Venmo
736,11670,448,82,Standard,Yes,Yes,Bank Transfer
737,11671,449,23,Next Day Air,Yes,Yes,Bank Transfer
739,11672,450,45,2-Day Shipping,Yes,Yes,Bank Transfer
740,11673,451,21,Store Pickup,Yes,Yes,Credit Card
741,11674,452,31,Express,Yes,Yes,Credit Card
742,11675,453,45,Express,Yes,Yes,PayPal
743,11676,454,56,Next Day Air,Yes,Yes,Credit Card
745,11677,455,97,Next Day Air,Yes,Yes,Cash
746,11678,456,100,Store Pickup,Yes,Yes,Debit Card
747,11679,457,96,2-Day Shipping,Yes,Yes,Credit Card
748,11680,458,99,Next Day Air,Yes,Yes,Debit Card
749,11681,459,91,2-Day Shipping,Yes,Yes,PayPal
751,11682,460,30,Standard,Yes,Yes,PayPal
752,11683,461,65,Store Pickup,Yes,Yes,Bank Transfer
753,11684,462,93,Express,Yes,Yes,Venmo
754,11685,463,81,Express,Yes,Yes,Venmo
755,11686,464,81,Standard,Yes,Yes,Venmo
757,11687,465,52,Next Day Air,Yes,Yes,PayPal
758,11688,466,88,Next Day Air,Yes,Yes,Cash
759,11689,467,24,Free Shipping,Yes,Yes,PayPal
760,11690,468,51,2-Day Shipping,Yes,Yes,Debit Card
761,11691,469,38,Free Shipping,Yes,Yes,Cash
763,11692,470,46,2-Day Shipping,Yes,Yes,Debit Card
764,11693,471,63,Express,Yes,Yes,Cash
765,11694,472,72,2-Day Shipping,Yes,Yes,Bank Transfer
766,11695,473,39,Free Shipping,Yes,Yes,Bank Transfer
767,11696,474,42,Store Pickup,Yes,Yes,PayPal
769,11697,475,76,2-Day Shipping,Yes,Yes,Cash
770,11698,476,66,Free Shipping,Yes,Yes,Debit Card
771,11699,477,90,Free Shipping,Yes,Yes,Debit Card
772,11700,478,56,Free Shipping,Yes,Yes,Debit Card
773,11701,479,43,Free Shipping,Yes,Yes,Venmo
775,11702,480,84,Store Pickup,Yes,Yes,Venmo
776,11703,481,88,Standard,Yes,Yes,Debit Card
777,11704,482,88,2-Day Shipping,Yes,Yes,PayPal
