customer_id,customer_age,customer_gender,product_id,product_item ,product_category,purchase_id,purchase_amount,customer_location,product_size,product_colour,product_season,product_rating,customer_subscription,purchase_shipping type,purchase_discount,purchase_promocode,customer_purchase count,purchase_payment type,customer_purchase frequency,purchase_date
79,50,Male,79,Skirt,Clothing,293,$91.00,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,2025-04-23
80,38,Male,80,Jacket,Outerwear,295,$96.00,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,2025-12-03
81,19,Male,81,Sandals,Footwear,296,$72.00,New York,XL,Blue,Summer,3.3,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,2025-07-01
82,67,Male,82,Shoes,Footwear,297,$96.00,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months,2025-08-14
83,19,Male,83,Pants,Clothing,298,$28.00,Georgia,S,Olive,Spring,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,2025-03-16
84,36,Male,84,Dress,Clothing,299,$40.00,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly,2025-08-02
85,52,Male,85,Coat,Outerwear,301,$32.00,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,2025-03-15
86,53,Male,86,Sunglasses,Accessories,302,$95.00,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,2025-12-23
87,24,Male,87,Hoodie,Clothing,303,$41.00,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,2025-04-17
88,52,Male,88,Shoes,Footwear,304,$53.00,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,2025-09-01
89,33,Male,89,T-shirt,Clothing,305,$47.00,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly,2025-10-24
90,47,Male,90,Jacket,Outerwear,307,$83.00,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly,2025-10-06
91,25,Male,91,Hat,Accessories,308,$48.00,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly,2025-07-23
92,44,Male,92,Scarf,Accessories,309,$99.00,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months,2025-01-14
93,61,Male,93,Jacket,Outerwear,310,$87.00,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,2025-12-14
94,37,Male,94,Sweater,Clothing,311,$62.00,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,2025-11-18
95,58,Male,95,Skirt,Clothing,313,$76.00,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly,2025-04-12
96,37,Male,96,Sneakers,Footwear,314,$100.00,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly,2025-10-03
97,32,Male,97,Gloves,Accessories,315,$73.00,Delaware,S,Gold,Spring,3.6,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months,2025-05-26
98,21,Male,98,Shoes,Footwear,316,$92.00,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually,2025-02-04
99,20,Male,99,Jeans,Clothing,317,$67.00,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,2025-05-23
100,26,Male,100,Hoodie,Clothing,319,$40.00,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly,2025-07-23
101,62,Male,101,Sunglasses,Accessories,320,$98.00,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly,2025-11-27
102,27,Male,102,Coat,Outerwear,321,$85.00,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly,2025-05-06
103,51,Male,103,Socks,Clothing,322,$67.00,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,2025-02-23
104,54,Male,104,Boots,Footwear,323,$89.00,West Virginia,L,Red,Winter,4,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,2025-02-17
105,55,Male,105,Sunglasses,Accessories,325,$24.00,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,2025-05-03
106,69,Male,106,Backpack,Accessories,326,$96.00,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,2025-10-03
107,64,Male,107,Jacket,Outerwear,327,$35.00,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly,2025-06-21
108,28,Male,108,Sneakers,Footwear,328,$67.00,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,2025-01-10
109,70,Male,109,Socks,Clothing,329,$79.00,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,2025-03-22
110,58,Male,110,T-shirt,Clothing,331,$85.00,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,2025-04-14
111,56,Male,111,Backpack,Accessories,332,$26.00,New York,M,Black,Summer,4,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly,2025-08-10
112,26,Male,112,Belt,Accessories,333,$75.00,Massachusetts,L,Purple,Summer,5,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually,2025-07-04
113,37,Male,113,Gloves,Accessories,334,$65.00,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,2025-05-13
114,44,Male,114,Hat,Accessories,335,$54.00,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly,2025-12-07
115,70,Male,115,Coat,Outerwear,337,$95.00,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly,2025-07-01
116,53,Male,116,Skirt,Clothing,338,$94.00,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months,2025-04-01
117,55,Male,117,Shoes,Footwear,339,$86.00,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually,2025-04-27
118,50,Male,118,Sandals,Footwear,340,$32.00,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly,2025-06-23
119,50,Male,119,Sweater,Clothing,341,$45.00,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,2025-11-27
120,38,Male,120,Coat,Outerwear,343,$76.00,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually,2025-09-25
121,64,Male,121,Hat,Accessories,344,$84.00,West Virginia,L,Red,Summer,4,Yes,Express,Yes,Yes,32,Bank Transfer,Annually,2025-06-14
122,19,Male,122,Shorts,Clothing,345,$72.00,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly,2025-01-20
123,40,Male,123,Backpack,Accessories,346,$40.00,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly,2025-04-17
124,57,Male,124,Sweater,Clothing,347,$89.00,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly,2025-10-10
125,44,Male,125,Sweater,Clothing,349,$86.00,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually,2025-04-21
126,49,Male,126,Shorts,Clothing,350,$54.00,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months,2025-02-27
127,43,Male,127,Shorts,Clothing,351,$36.00,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months,2025-05-19
128,24,Male,128,Sweater,Clothing,352,$89.00,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly,2025-12-11
129,20,Male,129,Scarf,Accessories,353,$32.00,California,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly,2025-05-11
130,24,Male,130,Dress,Clothing,355,$67.00,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly,2025-08-12
131,44,Male,131,Scarf,Accessories,356,$39.00,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Fortnightly,2025-11-25
132,28,Male,132,Skirt,Clothing,357,$29.00,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,2025-07-10
133,30,Male,133,Backpack,Accessories,358,$58.00,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Weekly,2025-09-18
134,52,Male,134,Sweater,Clothing,359,$65.00,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25,Venmo,Annually,2025-01-11
135,43,Male,135,Hat,Accessories,361,$94.00,Texas,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,Monthly,2025-10-10
136,43,Male,136,Sandals,Footwear,362,$81.00,Kansas,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,12,PayPal,Quarterly,2025-11-15
137,39,Male,137,Blouse,Clothing,363,$86.00,South Carolina,M,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly,2025-02-11
138,68,Male,138,Sneakers,Footwear,364,$43.00,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38,PayPal,Weekly,2025-03-02
139,68,Male,139,Skirt,Clothing,365,$29.00,Georgia,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly,2025-02-25
140,49,Male,140,Coat,Outerwear,367,$95.00,Florida,M,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,30,Venmo,Annually,2025-10-03
141,63,Male,141,Shirt,Clothing,368,$28.00,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly,2025-09-04
142,56,Male,142,Gloves,Accessories,369,$46.00,Virginia,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,2025-10-03
143,37,Male,143,Jacket,Outerwear,370,$58.00,Nebraska,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly,2025-11-22
144,30,Male,144,Coat,Outerwear,371,$48.00,Missouri,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,25,PayPal,Quarterly,2025-10-19
145,19,Male,145,Shoes,Footwear,373,$43.00,New Jersey,M,Silver,Fall,3.2,Yes,Express,Yes,Yes,25,Cash,Monthly,2025-09-06
146,24,Male,146,Jewelry,Accessories,374,$95.00,Missouri,M,Teal,Fall,4.5,Yes,Standard,Yes,Yes,44,Debit Card,Quarterly,2025-11-14
147,52,Male,147,Skirt,Clothing,375,$30.00,Colorado,S,Black,Fall,4,Yes,Standard,Yes,Yes,21,Venmo,Fortnightly,2025-11-11
148,63,Male,148,Shoes,Footwear,376,$64.00,Idaho,M,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly,2025-08-24
149,37,Male,149,Gloves,Accessories,377,$90.00,Wyoming,M,Gray,Fall,2.6,Yes,Store Pickup,Yes,Yes,47,Debit Card,Annually,2025-09-24
150,38,Male,150,Pants,Clothing,379,$76.00,Delaware,M,White,Summer,3.2,Yes,Free Shipping,Yes,Yes,14,PayPal,Monthly,2025-08-12
151,35,Male,151,Boots,Footwear,380,$96.00,California,L,Cyan,Fall,4.9,Yes,Standard,Yes,Yes,17,Debit Card,Every 3 Months,2025-09-26
152,28,Male,152,Sunglasses,Accessories,381,$47.00,North Dakota,L,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,Yes,3,Venmo,Annually,2025-11-08
153,30,Male,153,Shirt,Clothing,382,$85.00,South Carolina,S,Brown,Summer,4.3,Yes,Express,Yes,Yes,42,Venmo,Annually,2025-06-02
154,69,Male,154,Hoodie,Clothing,383,$55.00,North Carolina,M,Maroon,Winter,3.2,Yes,Standard,Yes,Yes,22,Debit Card,Annually,2025-01-21
155,41,Male,155,Dress,Clothing,385,$98.00,Oklahoma,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,21,Venmo,Quarterly,2025-10-18
156,63,Male,156,Socks,Clothing,386,$77.00,Maine,S,Olive,Spring,4.3,Yes,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly,2025-05-08
157,35,Male,157,Shorts,Clothing,387,$26.00,Missouri,M,Lavender,Fall,4,Yes,Standard,Yes,Yes,40,Debit Card,Annually,2025-10-05
158,36,Male,158,Hat,Accessories,388,$68.00,Vermont,S,Yellow,Fall,3,Yes,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly,2025-11-24
159,25,Male,159,Shirt,Clothing,389,$73.00,Connecticut,XL,Teal,Fall,4.1,Yes,Standard,Yes,Yes,50,Bank Transfer,Monthly,2025-09-02
160,58,Male,160,Gloves,Accessories,391,$27.00,New Hampshire,M,Charcoal,Fall,3.8,Yes,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months,2025-11-22
161,27,Male,161,Gloves,Accessories,392,$23.00,Texas,M,Orange,Summer,4.6,Yes,Free Shipping,Yes,Yes,34,Venmo,Monthly,2025-07-02
162,65,Male,162,Backpack,Accessories,393,$49.00,North Dakota,M,Olive,Fall,3,Yes,Express,Yes,Yes,29,Venmo,Fortnightly,2025-11-10
163,54,Male,163,Sunglasses,Accessories,394,$74.00,California,M,Turquoise,Summer,3,Yes,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly,2025-07-25
