product_ID,product_item,product_category,product_size,product_colour,product_season,product_rating
11296,Pants,Clothing,M,Teal,Spring,2.7
11297,Gloves,Accessories,L,Violet,Spring,4.5
11298,Scarf,Accessories,M,Blue,Summer,2.7
11299,Hat,Accessories,S,Teal,Summer,4.2
11300,Dress,Clothing,L,Gold,Summer,3.3
11301,Skirt,Clothing,M,Maroon,Spring,4.7
11302,Jacket,Outerwear,M,Olive,Winter,2.6
11303,Sandals,Footwear,XL,Blue,Summer,3.3
11304,Shoes,Footwear,L,Maroon,Summer,2.6
11305,Pants,Clothing,S,Olive,Spring,4
11306,Dress,Clothing,M,Turquoise,Summer,4.1
11307,Coat,Outerwear,S,Peach,Spring,4.4
11308,Sunglasses,Accessories,M,Charcoal,Winter,4.5
11309,Hoodie,Clothing,L,Pink,Spring,3.7
11310,Shoes,Footwear,M,Green,Fall,3.7
11311,T-shirt,Clothing,M,Orange,Fall,3.5
11312,Jacket,Outerwear,XL,Pink,Fall,3.6
11313,Hat,Accessories,L,Violet,Summer,2.9
11314,Scarf,Accessories,S,Green,Winter,4.6
11315,Jacket,Outerwear,M,Olive,Winter,4.4
11316,Sweater,Clothing,M,Purple,Fall,4.5
11317,Skirt,Clothing,S,Silver,Spring,4.6
11318,Sneakers,Footwear,L,Pink,Fall,3.8
11319,Gloves,Accessories,S,Gold,Spring,3.6
11320,Shoes,Footwear,M,Teal,Winter,4.8
11321,Jeans,Clothing,XL,Teal,Spring,2.6
11322,Hoodie,Clothing,XL,Indigo,Summer,3.7
11323,Sunglasses,Accessories,M,Maroon,Fall,2.7
11324,Coat,Outerwear,XL,White,Spring,4.6
11325,Socks,Clothing,L,Violet,Winter,4.8
11326,Boots,Footwear,L,Red,Winter,4
11327,Sunglasses,Accessories,L,Pink,Spring,4.4
11328,Backpack,Accessories,M,Charcoal,Fall,3.6
11329,Jacket,Outerwear,L,White,Summer,3.7
11330,Sneakers,Footwear,L,Olive,Winter,3.1
11331,Socks,Clothing,L,Purple,Spring,3.4
11332,T-shirt,Clothing,M,Violet,Spring,2.6
11333,Backpack,Accessories,M,Black,Summer,4
11334,Belt,Accessories,L,Purple,Summer,5
11335,Gloves,Accessories,M,Red,Spring,4.3
11336,Hat,Accessories,L,Maroon,Winter,3.1
11337,Coat,Outerwear,S,Blue,Summer,3.7
11338,Skirt,Clothing,M,Gray,Spring,3.8
11339,Shoes,Footwear,S,Blue,Spring,3.4
11340,Sandals,Footwear,L,Yellow,Summer,4.6
11341,Sweater,Clothing,L,Orange,Fall,4.8
11342,Coat,Outerwear,M,Orange,Fall,4.3
11343,Hat,Accessories,L,Red,Summer,4
11344,Shorts,Clothing,M,Olive,Winter,4.2
11345,Backpack,Accessories,L,Brown,Spring,4.8
11346,Sweater,Clothing,L,Brown,Fall,3.1
11347,Sweater,Clothing,M,Gray,Spring,3.1
11348,Shorts,Clothing,M,Indigo,Winter,3.6
11349,Shorts,Clothing,L,Pink,Spring,3.9
11350,Sweater,Clothing,M,Gray,Winter,4.8
11351,Scarf,Accessories,M,Gold,Spring,4.7
11352,Dress,Clothing,XL,Olive,Summer,4.2
11353,Scarf,Accessories,L,Violet,Fall,3.7
11354,Skirt,Clothing,L,Indigo,Summer,3.9
11355,Backpack,Accessories,M,Orange,Fall,4.7
11356,Sweater,Clothing,M,Violet,Winter,2.5
11357,Hat,Accessories,L,Gray,Fall,4.9
11358,Sandals,Footwear,M,Purple,Fall,4.1
11359,Blouse,Clothing,M,White,Winter,3.3
11360,Sneakers,Footwear,M,Turquoise,Spring,4.7
11361,Skirt,Clothing,M,Maroon,Winter,4.4
11362,Coat,Outerwear,M,White,Fall,3.8
11363,Shirt,Clothing,L,Yellow,Fall,3.9
11364,Gloves,Accessories,M,Turquoise,Fall,4.9
11365,Jacket,Outerwear,L,Violet,Fall,3.1
11366,Coat,Outerwear,M,Beige,Fall,2.7
11367,Shoes,Footwear,M,Silver,Fall,3.2
11368,Jewelry,Accessories,M,Teal,Fall,4.5
11369,Skirt,Clothing,S,Black,Fall,4
11370,Shoes,Footwear,M,Purple,Summer,3.5
11371,Gloves,Accessories,M,Gray,Fall,2.6
11372,Pants,Clothing,M,White,Summer,3.2
11373,Boots,Footwear,L,Cyan,Fall,4.9
11374,Sunglasses,Accessories,L,Turquoise,Fall,4.5
11375,Shirt,Clothing,S,Brown,Summer,4.3
11376,Hoodie,Clothing,M,Maroon,Winter,3.2
11377,Dress,Clothing,M,Charcoal,Fall,3.6
11378,Socks,Clothing,S,Olive,Spring,4.3
11379,Shorts,Clothing,M,Lavender,Fall,4
11380,Hat,Accessories,S,Yellow,Fall,3
11381,Shirt,Clothing,XL,Teal,Fall,4.1
11382,Gloves,Accessories,M,Charcoal,Fall,3.8
11383,Gloves,Accessories,M,Orange,Summer,4.6
11384,Backpack,Accessories,M,Olive,Fall,3
11385,Sunglasses,Accessories,M,Turquoise,Summer,3
11386,Skirt,Clothing,M,Purple,Summer,3.4
11387,Handbag,Accessories,S,Purple,Spring,2.6
11388,Handbag,Accessories,S,Yellow,Winter,2.8
11389,Sneakers,Footwear,XL,Indigo,Fall,4
11390,Gloves,Accessories,M,Green,Fall,4
11391,Shoes,Footwear,M,Magenta,Summer,3
11392,Jacket,Outerwear,S,Gold,Summer,3.3
11393,Shirt,Clothing,M,Maroon,Fall,2.6
11394,Shorts,Clothing,M,Blue,Summer,3.6
11395,Jewelry,Accessories,M,Violet,Summer,3.9
11396,Hat,Accessories,M,Turquoise,Fall,3.4
11397,Shoes,Footwear,L,Brown,Winter,3.5
11398,Coat,Outerwear,L,Violet,Fall,2.8
11399,Backpack,Accessories,L,Black,Spring,2.7
11400,Hoodie,Clothing,L,Magenta,Fall,3.7
11401,Skirt,Clothing,L,Lavender,Fall,4.3
11402,Boots,Footwear,M,Violet,Fall,4.9
11403,Sandals,Footwear,L,Green,Fall,3.3
11404,Pants,Clothing,M,Beige,Summer,4.7
11405,Gloves,Accessories,XL,Purple,Summer,2.8
11406,Skirt,Clothing,XL,Beige,Spring,3.6
11407,Sneakers,Footwear,L,Cyan,Spring,3
11408,T-shirt,Clothing,XL,Silver,Summer,4.5
11409,Backpack,Accessories,S,Lavender,Summer,2.9
11410,Shoes,Footwear,S,Purple,Spring,3.3
11411,Hoodie,Clothing,M,Pink,Spring,3.1
11412,Blouse,Clothing,M,Maroon,Fall,4.4
11413,Coat,Outerwear,XL,Beige,Fall,3
11414,Hat,Accessories,M,Gray,Fall,3.9
11415,Shoes,Footwear,L,Turquoise,Summer,2.9
11416,Belt,Accessories,S,Silver,Fall,3
11417,Backpack,Accessories,M,Olive,Spring,3.1
11418,Jacket,Outerwear,M,Magenta,Fall,4.3
11419,Boots,Footwear,M,Lavender,Summer,3.9
11420,Scarf,Accessories,M,Black,Fall,3.2
11421,Jewelry,Accessories,M,Turquoise,Winter,4.8
11422,Hat,Accessories,XL,Green,Summer,3.8
11423,Dress,Clothing,S,Teal,Summer,3.3
11424,Blouse,Clothing,S,Beige,Fall,4.3
11425,Hat,Accessories,L,Magenta,Spring,2.7
11426,Scarf,Accessories,S,Yellow,Fall,3.2
11427,Sneakers,Footwear,M,Yellow,Fall,4
11428,Shirt,Clothing,M,Silver,Winter,3
11429,T-shirt,Clothing,L,Silver,Summer,4.2
11430,Gloves,Accessories,M,Silver,Summer,2.9
11431,Skirt,Clothing,M,Gold,Spring,4.1
11432,Sandals,Footwear,S,Olive,Winter,3.2
11433,Jacket,Outerwear,L,Teal,Fall,3
11434,Skirt,Clothing,L,Maroon,Fall,4.2
11435,Handbag,Accessories,L,Blue,Fall,4.2
11436,Handbag,Accessories,L,Peach,Fall,4.4
11437,Jacket,Outerwear,L,Blue,Summer,4.2
11438,Scarf,Accessories,S,Orange,Spring,2.8
11439,Shorts,Clothing,L,Yellow,Spring,3.7
11440,Sunglasses,Accessories,M,Purple,Winter,3.5
11441,T-shirt,Clothing,S,Magenta,Spring,2.9
11442,Belt,Accessories,M,Cyan,Spring,3
11443,Sneakers,Footwear,S,Indigo,Spring,3.7
11444,Hat,Accessories,XL,Magenta,Summer,4.4
11445,Gloves,Accessories,XL,Gray,Spring,4.5
11446,Pants,Clothing,M,Turquoise,Spring,4.8
11447,Socks,Clothing,S,Beige,Summer,2.9
11448,Jacket,Outerwear,M,Olive,Spring,3.2
11449,Shoes,Footwear,L,Violet,Spring,3.3
11450,Jeans,Clothing,M,Turquoise,Winter,4.2
11451,Socks,Clothing,M,White,Spring,2.9
11452,Sandals,Footwear,S,Silver,Spring,4.6
11453,Scarf,Accessories,L,Olive,Fall,4.1
11454,Blouse,Clothing,M,Blue,Spring,3.1
11455,Jewelry,Accessories,L,Purple,Winter,4.2
11456,Sweater,Clothing,XL,Yellow,Fall,4.5
11457,Gloves,Accessories,S,Silver,Summer,3.7
11458,Sunglasses,Accessories,M,Cyan,Winter,3.7
11459,Coat,Outerwear,L,Green,Winter,3.4
11460,Dress,Clothing,M,Beige,Summer,3
11461,Skirt,Clothing,M,Peach,Fall,4.2
11462,Pants,Clothing,L,Yellow,Summer,2.9
11463,Sweater,Clothing,XL,Turquoise,Winter,3.5
11464,Hoodie,Clothing,M,Peach,Winter,4.1
11465,Coat,Outerwear,L,Gray,Summer,4.3
11466,Jewelry,Accessories,M,Olive,Winter,2.8
11467,Belt,Accessories,S,Indigo,Spring,4.9
11468,Sandals,Footwear,L,Charcoal,Summer,3.3
11469,Sunglasses,Accessories,XL,Beige,Spring,3.2
11470,Sweater,Clothing,XL,Brown,Spring,4.4
11471,Belt,Accessories,M,Blue,Winter,4.8
11472,Handbag,Accessories,S,Teal,Fall,4.2
11473,Skirt,Clothing,L,Black,Fall,4
11474,Handbag,Accessories,XL,Gold,Winter,2.5
11475,Shorts,Clothing,M,Violet,Summer,3.9
11476,Boots,Footwear,L,Cyan,Winter,4.9
11477,Sunglasses,Accessories,M,White,Winter,3.5
11478,Scarf,Accessories,M,Charcoal,Spring,4.2
11479,Jewelry,Accessories,XL,Violet,Spring,4.7
11480,Handbag,Accessories,M,Red,Summer,4.5
11481,Gloves,Accessories,S,Lavender,Spring,2.8
11482,Jeans,Clothing,M,Gold,Fall,2.9
11483,Hat,Accessories,S,Red,Winter,3.2
11484,Jeans,Clothing,L,Magenta,Winter,4.9
11485,Pants,Clothing,M,Teal,Summer,3.7
11486,Shorts,Clothing,M,Purple,Summer,4.3
11487,Pants,Clothing,S,Charcoal,Fall,3.9
11488,Backpack,Accessories,M,Gray,Spring,3.2
11489,Jewelry,Accessories,L,White,Summer,3.1
11490,Sweater,Clothing,M,Olive,Spring,3.9
11491,Shoes,Footwear,M,Charcoal,Spring,2.6
11492,Blouse,Clothing,M,Charcoal,Winter,3.3
11493,Jeans,Clothing,XL,Orange,Fall,4.6
11494,Sunglasses,Accessories,XL,Yellow,Summer,4.6
11495,Jewelry,Accessories,M,Beige,Summer,4.4
11496,Coat,Outerwear,S,Silver,Spring,4.2
11497,Jewelry,Accessories,M,Indigo,Spring,3
11498,Backpack,Accessories,XL,Lavender,Winter,4
11499,Skirt,Clothing,XL,Turquoise,Fall,3.5
11500,Shirt,Clothing,M,Green,Winter,3
11501,Sweater,Clothing,M,Orange,Spring,3.7
11502,Sneakers,Footwear,L,Turquoise,Summer,4
11503,Sandals,Footwear,S,Cyan,Fall,4.2
11504,Belt,Accessories,XL,Charcoal,Spring,2.5
11505,Skirt,Clothing,M,Teal,Summer,3
11506,Sweater,Clothing,S,Maroon,Fall,3.2
11507,Skirt,Clothing,M,Red,Summer,3.5
11508,Handbag,Accessories,XL,Yellow,Summer,4.8
11509,Jewelry,Accessories,L,Gray,Summer,2.6
11510,Scarf,Accessories,L,Blue,Spring,3.4
11511,T-shirt,Clothing,M,Lavender,Winter,3.7
11512,Coat,Outerwear,M,Yellow,Fall,4.5
11513,T-shirt,Clothing,M,Indigo,Winter,3.7
11514,Dress,Clothing,XL,Violet,Fall,3.3
11515,Shoes,Footwear,M,Green,Spring,4.7
11516,Handbag,Accessories,M,White,Spring,2.7
11517,Skirt,Clothing,M,Gold,Spring,4.6
11518,Sunglasses,Accessories,M,Indigo,Winter,2.7
11519,Sandals,Footwear,S,Lavender,Spring,4.8
11520,Shoes,Footwear,XL,Purple,Summer,4.4
11521,T-shirt,Clothing,M,Lavender,Winter,4
11522,Sneakers,Footwear,M,Maroon,Summer,3.2
11523,Hat,Accessories,M,Teal,Spring,4.4
11524,Skirt,Clothing,M,Green,Spring,3.8
11525,Sweater,Clothing,L,Olive,Summer,3.6
11526,Sandals,Footwear,M,Turquoise,Summer,3.3
11527,Dress,Clothing,M,Green,Winter,3.4
11528,Sweater,Clothing,M,Teal,Fall,3.5
11529,Jacket,Outerwear,S,White,Summer,3.6
11530,Gloves,Accessories,M,Orange,Winter,3.2
11531,Handbag,Accessories,M,Beige,Fall,3.7
11532,Dress,Clothing,M,Yellow,Spring,4.5
11533,Pants,Clothing,M,Charcoal,Winter,4.6
11534,Jeans,Clothing,L,Silver,Winter,4.1
11535,Pants,Clothing,L,Green,Spring,3.4
11536,Dress,Clothing,M,Pink,Spring,3.7
11537,Pants,Clothing,M,Purple,Summer,3.3
11538,Jewelry,Accessories,XL,Orange,Spring,4.5
11539,Handbag,Accessories,M,Charcoal,Fall,3.3
11540,Sweater,Clothing,L,Teal,Fall,4.3
11541,Backpack,Accessories,M,Beige,Winter,2.5
11542,Shorts,Clothing,XL,White,Spring,2.6
11543,Jewelry,Accessories,L,White,Summer,4.9
11544,Sneakers,Footwear,L,Orange,Summer,4.7
11545,Belt,Accessories,S,Cyan,Winter,3
11546,Hoodie,Clothing,M,Orange,Winter,3.5
11547,Shirt,Clothing,M,Olive,Summer,4.8
11548,Pants,Clothing,M,Charcoal,Winter,4.3
11549,Scarf,Accessories,M,White,Fall,3.2
11550,Coat,Outerwear,M,Teal,Summer,3.1
11551,Coat,Outerwear,M,Yellow,Fall,2.8
11552,Socks,Clothing,S,White,Summer,2.9
11553,Sweater,Clothing,M,Beige,Winter,3.7
11554,Shirt,Clothing,L,Beige,Fall,3.3
11555,Shirt,Clothing,M,Maroon,Winter,2.8
11556,Sweater,Clothing,M,Teal,Winter,4.5
11557,Blouse,Clothing,M,Lavender,Fall,2.6
11558,Sweater,Clothing,L,Maroon,Spring,3.7
11559,Hat,Accessories,S,Orange,Fall,4.4
11560,Sweater,Clothing,M,Cyan,Winter,4.3
11561,Hoodie,Clothing,M,Silver,Winter,3.5
11562,Shorts,Clothing,M,Teal,Spring,3.8
11563,Shorts,Clothing,L,Blue,Summer,3.5
11564,Hat,Accessories,S,Blue,Summer,4.6
11565,Coat,Outerwear,M,Olive,Spring,2.6
11566,Sandals,Footwear,M,Purple,Summer,4.4
11567,Skirt,Clothing,M,Charcoal,Winter,4
11568,Shoes,Footwear,S,Olive,Winter,4.4
11569,Jeans,Clothing,L,Violet,Spring,4.7
11570,Sandals,Footwear,L,Red,Fall,3.9
11571,Blouse,Clothing,M,Beige,Fall,2.7
11572,Hat,Accessories,M,Green,Winter,3.7
11573,Sweater,Clothing,M,Violet,Spring,2.6
11574,Skirt,Clothing,M,Teal,Winter,3.9
11575,Jeans,Clothing,XL,Yellow,Fall,4.9
11576,Sneakers,Footwear,L,Yellow,Fall,4.1
11577,Jewelry,Accessories,S,Olive,Fall,3
11578,Jewelry,Accessories,XL,Magenta,Fall,4.1
11579,Pants,Clothing,L,Black,Spring,3.8
11580,Belt,Accessories,M,Olive,Spring,4
11581,Hat,Accessories,XL,Magenta,Summer,3.6
11582,Sneakers,Footwear,M,Olive,Winter,3
11583,Pants,Clothing,M,Teal,Summer,3
11584,T-shirt,Clothing,M,White,Spring,2.6
11585,Sneakers,Footwear,M,Charcoal,Fall,3.4
11586,Shorts,Clothing,L,Yellow,Winter,3.1
11587,Shoes,Footwear,L,Charcoal,Summer,3
11588,Gloves,Accessories,XL,Gray,Summer,3.7
11589,Socks,Clothing,M,Turquoise,Spring,3.5
11590,Dress,Clothing,XL,Cyan,Spring,2.8
11591,Handbag,Accessories,M,Charcoal,Spring,4.5
11592,Belt,Accessories,M,Silver,Summer,3.3
11593,Scarf,Accessories,M,Olive,Winter,3.4
11594,Sneakers,Footwear,S,Pink,Winter,3.2
11595,Sweater,Clothing,L,Orange,Summer,3.7
11596,Coat,Outerwear,L,White,Summer,4.6
11597,Jewelry,Accessories,S,Purple,Spring,5
11598,Sunglasses,Accessories,M,Olive,Summer,4.4
11599,Shoes,Footwear,S,Gray,Fall,4.9
11600,Scarf,Accessories,M,Silver,Spring,4.1
11601,Dress,Clothing,L,Orange,Winter,4.9
11602,T-shirt,Clothing,S,Magenta,Fall,4.7
11603,Backpack,Accessories,XL,Beige,Fall,3
11604,Jewelry,Accessories,L,Lavender,Winter,3.4
11605,Jeans,Clothing,M,Peach,Winter,3.2
11606,Sunglasses,Accessories,S,Magenta,Fall,2.9
11607,Sweater,Clothing,M,Beige,Fall,4.5
11608,Shorts,Clothing,S,Yellow,Fall,2.7
11609,Jewelry,Accessories,L,Brown,Spring,3.4
11610,Coat,Outerwear,L,Silver,Summer,4.6
11611,Handbag,Accessories,M,Orange,Summer,2.7
11612,Boots,Footwear,L,Purple,Spring,4.2
11613,Gloves,Accessories,M,Indigo,Winter,3.2
11614,Sweater,Clothing,L,Gray,Spring,4.8
11615,T-shirt,Clothing,XL,Black,Spring,3.3
11616,Shoes,Footwear,L,Maroon,Fall,4.2
11617,Scarf,Accessories,M,Beige,Spring,4.8
11618,Sneakers,Footwear,L,Brown,Winter,4.9
11619,Dress,Clothing,S,Black,Fall,3.9
11620,Belt,Accessories,M,Indigo,Fall,3
11621,Boots,Footwear,S,Silver,Winter,4.6
11622,Scarf,Accessories,L,Blue,Fall,3.5
11623,Boots,Footwear,M,Green,Winter,4.8
11624,T-shirt,Clothing,L,Orange,Fall,4.8
11625,Backpack,Accessories,L,Cyan,Fall,3
11626,Sneakers,Footwear,M,Orange,Winter,4.5
11627,T-shirt,Clothing,M,Indigo,Spring,4.8
11628,Jeans,Clothing,S,Silver,Summer,3.8
11629,Gloves,Accessories,M,Peach,Spring,4.6
11630,Hoodie,Clothing,XL,Teal,Spring,3.1
11631,Sneakers,Footwear,L,White,Spring,3.4
11632,Shorts,Clothing,M,Brown,Winter,3.3
11633,Sweater,Clothing,L,Lavender,Spring,4.8
11634,Jeans,Clothing,M,Indigo,Summer,2.8
11635,Jacket,Outerwear,M,Yellow,Summer,3.1
11636,Jewelry,Accessories,S,White,Summer,4.6
11637,Backpack,Accessories,L,Violet,Winter,2.6
11638,Coat,Outerwear,M,Lavender,Winter,2.6
11639,Belt,Accessories,L,Olive,Spring,3.8
11640,Sandals,Footwear,L,Beige,Fall,4.5
11641,Sweater,Clothing,L,Purple,Spring,3
11642,Shorts,Clothing,S,Teal,Winter,3.5
11643,Socks,Clothing,S,Peach,Spring,3.8
11644,Shirt,Clothing,M,Violet,Winter,3.5
11645,Pants,Clothing,M,Purple,Fall,3.1
11646,Scarf,Accessories,L,Teal,Spring,3
11647,Sweater,Clothing,M,Gold,Winter,4.3
11648,Jeans,Clothing,S,Teal,Winter,3.3
11649,Pants,Clothing,M,Violet,Winter,4.7
11650,Backpack,Accessories,L,Black,Winter,4.5
11651,Coat,Outerwear,XL,Gold,Winter,2.9
11652,Sandals,Footwear,M,Gold,Winter,4.1
11653,Shirt,Clothing,M,Brown,Summer,3.5
11654,Hat,Accessories,L,Cyan,Winter,3.4
11655,Shirt,Clothing,S,Indigo,Fall,3.3
11656,Skirt,Clothing,M,Orange,Fall,3.2
11657,Shoes,Footwear,L,Pink,Spring,4
11658,Coat,Outerwear,XL,Olive,Winter,3.6
11659,Pants,Clothing,L,Cyan,Summer,4.6
11660,Jewelry,Accessories,M,Peach,Summer,2.6
11661,Belt,Accessories,M,Turquoise,Winter,4.3
11662,Jacket,Outerwear,M,Turquoise,Summer,3.4
11663,Shirt,Clothing,XL,Maroon,Winter,3.5
11664,Hoodie,Clothing,M,Maroon,Winter,4.2
11665,Sunglasses,Accessories,M,Olive,Fall,3.5
11666,Sunglasses,Accessories,M,Magenta,Summer,3.6
11667,Dress,Clothing,M,Red,Summer,4.3
11668,Boots,Footwear,M,Olive,Fall,4.9
11669,Shirt,Clothing,M,Silver,Summer,4.1
11670,Shorts,Clothing,S,Turquoise,Spring,3.6
11671,Gloves,Accessories,M,Yellow,Summer,3.4
11672,Jewelry,Accessories,L,Peach,Summer,2.9
11673,Boots,Footwear,L,Beige,Summer,2.7
11674,Jewelry,Accessories,M,Pink,Summer,4.3
11675,Pants,Clothing,M,Violet,Summer,3.3
11676,Jewelry,Accessories,XL,Peach,Winter,2.8
11677,Jacket,Outerwear,S,Gold,Summer,3.2
11678,Blouse,Clothing,XL,Gold,Fall,3.6
11679,Blouse,Clothing,S,Indigo,Fall,4
11680,Gloves,Accessories,M,Blue,Spring,4.9
11681,Shorts,Clothing,L,Black,Winter,4
11682,Hat,Accessories,L,Black,Winter,3.8
11683,Shoes,Footwear,L,Teal,Summer,3.7
11684,Boots,Footwear,M,Yellow,Winter,3.9
11685,Jacket,Outerwear,M,White,Fall,3.3
11686,Jewelry,Accessories,S,Orange,Summer,2.7
11687,Sunglasses,Accessories,M,Silver,Winter,4.7
11688,Skirt,Clothing,M,Pink,Summer,2.8
11689,Jeans,Clothing,L,Turquoise,Winter,4.6
11690,Backpack,Accessories,S,Orange,Spring,4.5
11691,Backpack,Accessories,S,Peach,Fall,5
11692,Shorts,Clothing,L,Pink,Fall,4.1
11693,Dress,Clothing,L,Teal,Summer,4.6
11694,Scarf,Accessories,XL,White,Winter,4.9
11695,Jeans,Clothing,L,Gray,Winter,3.9
11696,Coat,Outerwear,L,Olive,Spring,3.9
11697,Sweater,Clothing,XL,Maroon,Summer,2.6
11698,Sneakers,Footwear,L,Magenta,Summer,2.7
11699,Scarf,Accessories,M,Magenta,Spring,3.5
11700,Sweater,Clothing,M,Green,Summer,3.7
11701,Jewelry,Accessories,XL,Turquoise,Winter,3.2
11702,Handbag,Accessories,L,Yellow,Winter,3.3
11703,Hoodie,Clothing,M,Gray,Summer,4.8
11704,Hat,Accessories,L,Peach,Fall,3.2
11705,Belt,Accessories,M,Yellow,Winter,2.5
11706,Hoodie,Clothing,M,White,Fall,3.9
11707,Hat,Accessories,L,Lavender,Summer,4.7
11708,Shoes,Footwear,S,Blue,Spring,2.6
11709,Sandals,Footwear,M,Charcoal,Fall,2.8
11710,Jacket,Outerwear,L,Red,Winter,4.4
11711,Sweater,Clothing,L,Olive,Spring,4.6
11712,Socks,Clothing,M,Green,Summer,3.2
11713,Sneakers,Footwear,M,Silver,Winter,4.2
11714,Coat,Outerwear,M,Silver,Summer,3.7
11715,Shirt,Clothing,M,Black,Fall,3.9
11716,Backpack,Accessories,XL,Red,Summer,4.7
11717,Boots,Footwear,M,Indigo,Winter,4.5
11718,Handbag,Accessories,XL,Cyan,Fall,3.3
11719,Dress,Clothing,S,Maroon,Fall,3.3
11720,Sneakers,Footwear,S,Silver,Winter,4.6
11721,Boots,Footwear,M,Lavender,Spring,3.6
11722,Shoes,Footwear,L,Silver,Winter,4.8
11723,T-shirt,Clothing,L,Purple,Fall,4.8
11724,Boots,Footwear,M,Cyan,Spring,2.9
11725,Pants,Clothing,S,Cyan,Fall,2.8
11726,Shoes,Footwear,M,Lavender,Summer,3.2
11727,Shoes,Footwear,M,Maroon,Winter,3.9
11728,T-shirt,Clothing,L,Gray,Spring,4.3
11729,Scarf,Accessories,M,Olive,Fall,2.7
11730,Shorts,Clothing,M,Magenta,Spring,5
11731,Jewelry,Accessories,S,Yellow,Winter,3.7
11732,T-shirt,Clothing,L,Cyan,Summer,3.9
11733,Shirt,Clothing,M,Teal,Fall,3.9
11734,Shirt,Clothing,L,Yellow,Fall,3.1
